name,phone,whatsapp,canal,web,pitch,categoria,ciudad,website,direccion
Distribution Services,+525550033825,no,Llamada,SÍ,IA / automatización directo,Religious goods store,CDMX,https://store.churchofjesuschrist.org/?utm_source=," Av. 510 90, Pueblo de San Juan de Aragón, G"
Consorcio Juridico De Cobranza,+525556980500,no,Llamada,SÍ,IA / automatización directo,Debt collecting,CDMX,https://consorcio-juridico.mx/," Andalucía 245 y 254 col, Andalucía 245, Ála"
Praxis Logística,+525518018427,SÍ,WhatsApp,SÍ,IA / automatización directo,Import export company,CDMX,https://praxislogistica.com.mx/," Periferico Sur 3720 Torre 2 Piso 8, Jardine"
"RH. SHIPPING & CHARTERING, S. DE R",+528002887447,no,Llamada,SÍ,IA / automatización directo,Logistics service,CDMX,http://www.rh-shipping.com/," Paseo de la Reforma 222-15 Juárez Juárez, C"
NNR GLOBAL LOGISTICS MEXICO SA DE ,+525555310800,no,Llamada,SÍ,IA / automatización directo,Freight forwarding service,CDMX,https://nnrmx.com/," 〒11560 Cd. de México, Ciudad de México, Col"
"CFI Logistica, S.A. de C.V.",+523312533600,no,Llamada,SÍ,IA / automatización directo,Shipping service,Guadalajara,http://cfilogistica.com/, Torre Pacífico GWTC piso 9 Av. Mariano Oter
"Standard Logistics, S.a. De C.v.",+528119681188,no,Llamada,SÍ,IA / automatización directo,Transportation service,Monterrey,https://www.strd.com.mx/," Blvd. Antonio L. Rodríguez 3054, Santa Marí"
Asesor Logístico,+528112743871,SÍ,WhatsApp,SÍ,IA / automatización directo,Transportation service,Monterrey,http://www.asesor-logistico.com/," Av. Dr. José Eleuterio González 315-sub 4, "
DX Xpress Corporativo,+528183651515,no,Llamada,SÍ,IA / automatización directo,Trucking company,Monterrey,https://dxxpress.com/," Av. Revolución 3310-Piso 11, Ladrillera, Di"
Henco Global S.A. de C.V.,+528181582800,no,Llamada,SÍ,IA / automatización directo,Freight forwarding service,Monterrey,http://www.henco.com.mx/," C. El Roble 668-A, Los Urdiales, 64430 Mont"
Logistic Support Distribution S.A.,+528188658080,no,Llamada,SÍ,IA / automatización directo,Corporate office,Monterrey,http://www.sodisa.com/," C. Diego de Montemayor 417 Sur, Centro, 640"
Televirtual Centers - Grupo TVC SA,+18553111168,no,Llamada,SÍ,IA / automatización directo,Call center,Guadalajara,https://www.televirtualcenters.com/," C. Parque de las Estrellas 2796, Jardines d"
Cobranza Objetiva Alcocer Palacios,+525585644113,SÍ,WhatsApp,SÍ,IA / automatización directo,Debt collecting,CDMX,https://coobal.com.mx/," Buenavista 8-Interior 2, Buenavista, Cuauht"
SERVICIOS TECNICOS DE COBRANZA S.A,+525552768500,no,Llamada,SÍ,IA / automatización directo,Debt collecting,Monterrey,https://www.sertec.com.mx/," Dr. José Ma. Coss 731, Centro, 64000 Monter"
Distribuidora Realza S.A. de C.V.,+523331204622,no,Llamada,SÍ,IA / automatización directo,Store,Guadalajara,http://www.distribuidorarealza.com/," Calz. Olímpica 1465, Atlas, 44870 Guadalaja"
Comercial Angel Garza S.A. de C.V.,+528183512227,no,Llamada,SÍ,IA / automatización directo,Disposable tableware supplier,Monterrey,https://comercialangelgarza.com/," Mercado de Abastos Estrella, Av. Los Angele"
Distribuidora y Envasadora de Prod,+528183331181,no,Llamada,SÍ,IA / automatización directo,Supermarket,Monterrey,http://distribuidoradesal.com/," C. Pedro Vélez 2460, Progreso, 64420 Monter"
Alas Gulf Freight Transport S.A. d,+525555833302,no,Llamada,SÍ,IA / automatización directo,Trucking company,CDMX,http://www.alasdelgolfo.com/," Tilos 9, Santa María Insurgentes, Cuauhtémo"
Empresa de Logística Internacional,+528183771101,no,Llamada,SÍ,IA / automatización directo,Logistics service,Monterrey,http://www.grupoei.com.mx/," Av. San Rafael 101, Dieciocho de Marzo, 671"
Logística y Desarrollo en Comercio,+528136107704,no,Llamada,SÍ,IA / automatización directo,Shipping company,Monterrey,http://www.ldci.com.mx/," Serafín Peña 401 B, Centro, 64000 Monterrey"
COBRANZA CORPORATIVA SA DE CV,+525590007538,no,Llamada,SÍ,IA / automatización directo,Debt collecting,CDMX,http://www.cobranzacorporativa.com/," Montecito 38-P. 39 OF 34, Nápoles, Benito J"
To Cash Asociados,+525552085521,no,Llamada,SÍ,IA / automatización directo,Business management consultant,CDMX,http://tocashasociados.com/," C. Río Tiber #91-int. 401, Cuauhtémoc, 0650"
Distribuidora Parra de Monterrey S,+528114961143,SÍ,WhatsApp,SÍ,IA / automatización directo,Abrasives supplier,Monterrey,http://www.dpmty.com/," C. Gral. Bernardo Reyes #408, Centro, 66400"
PERLI EXPRESS S.A. DE C.V.,+525555274808,no,Llamada,SÍ,IA / automatización directo,Freight forwarding service,CDMX,http://www.perliexpress.com.mx/," Calz México-Tacuba 907, San Diego Ocoyoacac"
Evolve Logistics Mexico,+525586235684,no,Llamada,SÍ,IA / automatización directo,Trucking company,CDMX,https://evolvelogistics.com.mx/," Eugenio Sue 316-Int 15, Polanco, Polanco IV"
KENSA Logistics,+525593373600,no,Llamada,SÍ,IA / automatización directo,Logistics service,CDMX,https://www.kensalogistics.com/," Av. Pdte. Masaryk 29-Piso 1, Polanco, Polan"
CM LOGISTICS,+525610392487,SÍ,WhatsApp,SÍ,IA / automatización directo,Trucking company,CDMX,http://www.cmlogistics.com.mx/," Av. Insurgentes Sur 1392, Actipan, Benito J"
IC Logística OCURRE Ciudad de Méxi,+527757574329,SÍ,WhatsApp,SÍ,IA / automatización directo,Trucking company,CDMX,https://www.facebook.com/ICLogistica2020/," Atotonilco 55-L C, Maza, Cuauhtémoc, 06270 "
Haf Logistica Internacional,+525557510660,no,Llamada,SÍ,IA / automatización directo,Import export company,CDMX,http://www.haflogistica.com/," C. Ote. 33 119, Moctezuma 2da Secc, Venusti"
Quick | Empresa de logística y dis,+525574202826,SÍ,WhatsApp,SÍ,IA / automatización directo,Logistics service,Guadalajara,https://quickmexico.mx/," C. Juan de la Barrera 3561, Las Juntas, 455"
Logística y Transporte TLJ,+523317374504,SÍ,WhatsApp,SÍ,IA / automatización directo,Trucking company,Guadalajara,https://transportestlj.com/," Río Pánuco 1230-Int. 2, Atlas, 44870 Guadal"
HAF LOGÍSTICA INTERNACIONAL (GDL),+523333440222,no,Llamada,SÍ,IA / automatización directo,Shipping company,Guadalajara,http://www.haflogistica.com/," Calz. del Federalismo Sur 948, Moderna, 441"
Expo Proveedores del Transporte y ,+528122570974,SÍ,WhatsApp,SÍ,IA / automatización directo,Trucking company,Monterrey,," Av fundidores 508, Obrera, 64000 Monterrey,"
L.E.O LOGÍSTICA EXPRESS DE OCCIDEN,+523314090179,SÍ,WhatsApp,SÍ,IA / automatización directo,Shipping company,Guadalajara,https://www.facebook.com/leologisticaexpress, Cto. Ing. Tomás Limón Gutierrez 3323-Bloque
Logística y Administración LOAD GU,+523313930873,no,Llamada,SÍ,IA / automatización directo,Logistics service,Guadalajara,http://www.logisticaload.com/," Calz Delicias 271, El Alamo, 45560 San Pedr"
Cobranza Monterrey Ii,+528183447687,no,Llamada,no,Web primero (luego IA),Debt collecting,Monterrey,," 15 de Mayo 620-Interior A, Centro, 64000 Mo"
Distribuidora De Publicaciones y A,+525557052056,no,Llamada,no,Web primero (luego IA),Newspaper distribution service,CDMX,," C. José de Emparán 20, Tabacalera, Cuauhtém"
Distribuidora EL SA de CV,+525556940703,SÍ,WhatsApp,no,Web primero (luego IA),Grocery store,CDMX,," Pasillo G-H Bodega H44 B, Central de Abasto"
Comercial Distribuidora de Guadala,+523336192000,no,Llamada,no,Web primero (luego IA),Hydraulic equipment supplier,Guadalajara,," Av 5 de Febrero 254, Las Conchas, 44460 Gua"
Almacenadora Logística Internacion,+525555470540,no,Llamada,no,Web primero (luego IA),Trucking company,CDMX,," Estacion Pantaco, Azcapotzalco, 02040 Mexic"
Transportes Monterrey Sa De Cv,+525526265400,no,Llamada,no,Web primero (luego IA),Transportation service,Monterrey,," 16 de Septiembre 176, San Martin Xochinahua"
consorcio jurídico de cobranza esp,+528182205900,no,Llamada,no,Web primero (luego IA),Debt collecting,Monterrey,," Ignacio Zaragoza 1300, Centro, 64000 Monter"
Transportes Tarasco S.A. de C.V.,+525555279887,no,Llamada,no,Web primero (luego IA),Courier service,CDMX,," Cañito 126, San Diego Ocoyoacac, Miguel Hid"
ISM Tek Logistica,+525573805964,SÍ,WhatsApp,no,Web primero (luego IA),Logistics service,CDMX,," Lago Rodolfo 25B, Granada, Miguel Hidalgo, "
Logistica Internacional DF vj inte,+525563605406,no,Llamada,no,Web primero (luego IA),Industrial equipment supplier,CDMX,," Av. Pdte. Masaryk 120, Polanco, Polanco V S"
Expo Proveedores del Transporte y ,+528122570974,SÍ,WhatsApp,no,Web primero (luego IA),Trucking company,Monterrey,," Av fundidores 508, Obrera, 64000 Monterrey,"
Cedis Centro Historico,+525520650552,no,Llamada,no,Web primero (luego IA),Store,CDMX,," Cda. San Ciprian 27, Zona Centro, Venustian"
Mundo En Distribucion De Tiempo Ai,+525555182297,no,Llamada,no,Web primero (luego IA),Distribution service,CDMX,," República de Uruguay 23, Centro Histórico d"
Centro de Distribución las Aguilas,+525515524331,no,Llamada,no,Web primero (luego IA),Pantry,CDMX,," 5 de Mayo 23, Nueva Santa Martha, 57920 Cda"
Gnmx-Monterrey,+528183453826,no,Llamada,no,Web primero (luego IA),Government office,Monterrey,," Modesto Arreola Ote. 404, Centro, 64000 Mon"
TELECOR CALL CENTER,+523314090336,SÍ,WhatsApp,no,Web primero (luego IA),Call center,Guadalajara,," Calle Pedro Celestino Negrete 284, Reforma,"
Wise Interactions SA de CV,+525544256100,no,Llamada,no,Web primero (luego IA),Media company,Guadalajara,," San Luis Potosí 199-Piso 10, Roma Nte., Cua"
HIB Center,+523338393275,no,Llamada,no,Web primero (luego IA),Call center,Guadalajara,," 302, Avenida Ignacio Luis Vallarta 1393, Co"
Call Center De Mexico Sa De Cv,+525555675836,no,Llamada,no,Web primero (luego IA),Call center,Guadalajara,," Pte 150 838, Industrial Vallejo, Azcapotzal"
HEB Call Center,+528181531223,no,Llamada,no,Web primero (luego IA),Call center,Monterrey,," Av. Dr. José Eleuterio González 315, Jardin"
Cobranza Positiva,+528183453149,no,Llamada,no,Web primero (luego IA),Legal services,Monterrey,," 64000, Centro, 64000 Monterrey, N.L."
unicredit,+525589385922,no,Llamada,no,Web primero (luego IA),Debt collection agency,Monterrey,," Av. Batallón de San Patricio 109-piso 7, Va"
Distribuidora de Universal de Méxi,+525555224631,no,Llamada,no,Web primero (luego IA),Distribution service,CDMX,," Calle de Mesones 145, Centro Histórico de l"
Distribuidora Martínez,+525593481833,no,Llamada,no,Web primero (luego IA),Store,CDMX,," Lago Míchigan 2, Tacuba, Miguel Hidalgo, 11"
DISTRIBUIDORA DIPOSAN,+525557042717,no,Llamada,no,Web primero (luego IA),Distribution service,CDMX,," Av. Canal del Nte. 296, 5o Tramo 20 de Novi"
Distribuidora luna,+525582855725,SÍ,WhatsApp,no,Web primero (luego IA),Wholesaler,CDMX,," Albahaca 48, Tlatilco, Azcapotzalco, 02860 "
Distribuidora Shalom,+525555226145,no,Llamada,no,Web primero (luego IA),Variety store,CDMX,," Calle de Roldán 118, La Merced, Centro, Cua"
Distribuidora,+523322582955,no,Llamada,no,Web primero (luego IA),Store,Guadalajara,," J. del Fierro 438, Pedro Moreno, 45130 Guad"
Cosméticos Distribuidora de Occide,+523314773228,SÍ,WhatsApp,no,Web primero (luego IA),Cosmetics store,Guadalajara,," C. Hacienda Mochitiltic 1483, Colonia Oblat"
Distribuidora Profesional cosmetic,+523336132104,no,Llamada,no,Web primero (luego IA),Distribution service,Guadalajara,," Av Juárez 490, Zona Centro, 44100 Guadalaja"
