name,phone,whatsapp,canal,web,pitch,categoria,ciudad,website,direccion
Distribution Services,+525550033825,no,Llamada,SÍ,IA / automatización directo,Religious goods store,CDMX,https://store.churchofjesuschrist.org/?utm_source=," Av. 510 90, Pueblo de San Juan de Aragón, G"
Consorcio Juridico De Cobranza,+525556980500,no,Llamada,SÍ,IA / automatización directo,Debt collecting,CDMX,https://consorcio-juridico.mx/," Andalucía 245 y 254 col, Andalucía 245, Ála"
"RH. SHIPPING & CHARTERING, S. DE R",+528002887447,no,Llamada,SÍ,IA / automatización directo,Logistics service,CDMX,http://www.rh-shipping.com/," Paseo de la Reforma 222-15 Juárez Juárez, C"
NNR GLOBAL LOGISTICS MEXICO SA DE ,+525555310800,no,Llamada,SÍ,IA / automatización directo,Freight forwarding service,CDMX,https://nnrmx.com/," 〒11560 Cd. de México, Ciudad de México, Col"
"CFI Logistica, S.A. de C.V.",+523312533600,no,Llamada,SÍ,IA / automatización directo,Shipping service,Guadalajara,http://cfilogistica.com/, Torre Pacífico GWTC piso 9 Av. Mariano Oter
"Standard Logistics, S.a. De C.v.",+528119681188,no,Llamada,SÍ,IA / automatización directo,Transportation service,Monterrey,https://www.strd.com.mx/," Blvd. Antonio L. Rodríguez 3054, Santa Marí"
DX Xpress Corporativo,+528183651515,no,Llamada,SÍ,IA / automatización directo,Trucking company,Monterrey,https://dxxpress.com/," Av. Revolución 3310-Piso 11, Ladrillera, Di"
Henco Global S.A. de C.V.,+528181582800,no,Llamada,SÍ,IA / automatización directo,Freight forwarding service,Monterrey,http://www.henco.com.mx/," C. El Roble 668-A, Los Urdiales, 64430 Mont"
Logistic Support Distribution S.A.,+528188658080,no,Llamada,SÍ,IA / automatización directo,Corporate office,Monterrey,http://www.sodisa.com/," C. Diego de Montemayor 417 Sur, Centro, 640"
Televirtual Centers - Grupo TVC SA,+18553111168,no,Llamada,SÍ,IA / automatización directo,Call center,Guadalajara,https://www.televirtualcenters.com/," C. Parque de las Estrellas 2796, Jardines d"
SERVICIOS TECNICOS DE COBRANZA S.A,+525552768500,no,Llamada,SÍ,IA / automatización directo,Debt collecting,Monterrey,https://www.sertec.com.mx/," Dr. José Ma. Coss 731, Centro, 64000 Monter"
Distribuidora Realza S.A. de C.V.,+523331204622,no,Llamada,SÍ,IA / automatización directo,Store,Guadalajara,http://www.distribuidorarealza.com/," Calz. Olímpica 1465, Atlas, 44870 Guadalaja"
Comercial Angel Garza S.A. de C.V.,+528183512227,no,Llamada,SÍ,IA / automatización directo,Disposable tableware supplier,Monterrey,https://comercialangelgarza.com/," Mercado de Abastos Estrella, Av. Los Angele"
Distribuidora y Envasadora de Prod,+528183331181,no,Llamada,SÍ,IA / automatización directo,Supermarket,Monterrey,http://distribuidoradesal.com/," C. Pedro Vélez 2460, Progreso, 64420 Monter"
Alas Gulf Freight Transport S.A. d,+525555833302,no,Llamada,SÍ,IA / automatización directo,Trucking company,CDMX,http://www.alasdelgolfo.com/," Tilos 9, Santa María Insurgentes, Cuauhtémo"
Empresa de Logística Internacional,+528183771101,no,Llamada,SÍ,IA / automatización directo,Logistics service,Monterrey,http://www.grupoei.com.mx/," Av. San Rafael 101, Dieciocho de Marzo, 671"
Logística y Desarrollo en Comercio,+528136107704,no,Llamada,SÍ,IA / automatización directo,Shipping company,Monterrey,http://www.ldci.com.mx/," Serafín Peña 401 B, Centro, 64000 Monterrey"
COBRANZA CORPORATIVA SA DE CV,+525590007538,no,Llamada,SÍ,IA / automatización directo,Debt collecting,CDMX,http://www.cobranzacorporativa.com/," Montecito 38-P. 39 OF 34, Nápoles, Benito J"
To Cash Asociados,+525552085521,no,Llamada,SÍ,IA / automatización directo,Business management consultant,CDMX,http://tocashasociados.com/," C. Río Tiber #91-int. 401, Cuauhtémoc, 0650"
PERLI EXPRESS S.A. DE C.V.,+525555274808,no,Llamada,SÍ,IA / automatización directo,Freight forwarding service,CDMX,http://www.perliexpress.com.mx/," Calz México-Tacuba 907, San Diego Ocoyoacac"
Evolve Logistics Mexico,+525586235684,no,Llamada,SÍ,IA / automatización directo,Trucking company,CDMX,https://evolvelogistics.com.mx/," Eugenio Sue 316-Int 15, Polanco, Polanco IV"
KENSA Logistics,+525593373600,no,Llamada,SÍ,IA / automatización directo,Logistics service,CDMX,https://www.kensalogistics.com/," Av. Pdte. Masaryk 29-Piso 1, Polanco, Polan"
Haf Logistica Internacional,+525557510660,no,Llamada,SÍ,IA / automatización directo,Import export company,CDMX,http://www.haflogistica.com/," C. Ote. 33 119, Moctezuma 2da Secc, Venusti"
HAF LOGÍSTICA INTERNACIONAL (GDL),+523333440222,no,Llamada,SÍ,IA / automatización directo,Shipping company,Guadalajara,http://www.haflogistica.com/," Calz. del Federalismo Sur 948, Moderna, 441"
Logística y Administración LOAD GU,+523313930873,no,Llamada,SÍ,IA / automatización directo,Logistics service,Guadalajara,http://www.logisticaload.com/," Calz Delicias 271, El Alamo, 45560 San Pedr"
