name,phone,whatsapp,canal,web,pitch,categoria,ciudad,website,direccion
Praxis Logística,+525518018427,SÍ,WhatsApp,SÍ,IA / automatización directo,Import export company,CDMX,https://praxislogistica.com.mx/," Periferico Sur 3720 Torre 2 Piso 8, Jardine"
Asesor Logístico,+528112743871,SÍ,WhatsApp,SÍ,IA / automatización directo,Transportation service,Monterrey,http://www.asesor-logistico.com/," Av. Dr. José Eleuterio González 315-sub 4, "
Cobranza Objetiva Alcocer Palacios,+525585644113,SÍ,WhatsApp,SÍ,IA / automatización directo,Debt collecting,CDMX,https://coobal.com.mx/," Buenavista 8-Interior 2, Buenavista, Cuauht"
Distribuidora Parra de Monterrey S,+528114961143,SÍ,WhatsApp,SÍ,IA / automatización directo,Abrasives supplier,Monterrey,http://www.dpmty.com/," C. Gral. Bernardo Reyes #408, Centro, 66400"
CM LOGISTICS,+525610392487,SÍ,WhatsApp,SÍ,IA / automatización directo,Trucking company,CDMX,http://www.cmlogistics.com.mx/," Av. Insurgentes Sur 1392, Actipan, Benito J"
IC Logística OCURRE Ciudad de Méxi,+527757574329,SÍ,WhatsApp,SÍ,IA / automatización directo,Trucking company,CDMX,https://www.facebook.com/ICLogistica2020/," Atotonilco 55-L C, Maza, Cuauhtémoc, 06270 "
Quick | Empresa de logística y dis,+525574202826,SÍ,WhatsApp,SÍ,IA / automatización directo,Logistics service,Guadalajara,https://quickmexico.mx/," C. Juan de la Barrera 3561, Las Juntas, 455"
Logística y Transporte TLJ,+523317374504,SÍ,WhatsApp,SÍ,IA / automatización directo,Trucking company,Guadalajara,https://transportestlj.com/," Río Pánuco 1230-Int. 2, Atlas, 44870 Guadal"
Expo Proveedores del Transporte y ,+528122570974,SÍ,WhatsApp,SÍ,IA / automatización directo,Trucking company,Monterrey,," Av fundidores 508, Obrera, 64000 Monterrey,"
L.E.O LOGÍSTICA EXPRESS DE OCCIDEN,+523314090179,SÍ,WhatsApp,SÍ,IA / automatización directo,Shipping company,Guadalajara,https://www.facebook.com/leologisticaexpress, Cto. Ing. Tomás Limón Gutierrez 3323-Bloque
