name,phone,whatsapp,canal,web,pitch,categoria,ciudad,website,direccion
Cobranza Monterrey Ii,+528183447687,no,Llamada,no,Web primero (luego IA),Debt collecting,Monterrey,," 15 de Mayo 620-Interior A, Centro, 64000 Mo"
Distribuidora De Publicaciones y A,+525557052056,no,Llamada,no,Web primero (luego IA),Newspaper distribution service,CDMX,," C. José de Emparán 20, Tabacalera, Cuauhtém"
Comercial Distribuidora de Guadala,+523336192000,no,Llamada,no,Web primero (luego IA),Hydraulic equipment supplier,Guadalajara,," Av 5 de Febrero 254, Las Conchas, 44460 Gua"
Almacenadora Logística Internacion,+525555470540,no,Llamada,no,Web primero (luego IA),Trucking company,CDMX,," Estacion Pantaco, Azcapotzalco, 02040 Mexic"
Transportes Monterrey Sa De Cv,+525526265400,no,Llamada,no,Web primero (luego IA),Transportation service,Monterrey,," 16 de Septiembre 176, San Martin Xochinahua"
consorcio jurídico de cobranza esp,+528182205900,no,Llamada,no,Web primero (luego IA),Debt collecting,Monterrey,," Ignacio Zaragoza 1300, Centro, 64000 Monter"
Transportes Tarasco S.A. de C.V.,+525555279887,no,Llamada,no,Web primero (luego IA),Courier service,CDMX,," Cañito 126, San Diego Ocoyoacac, Miguel Hid"
Logistica Internacional DF vj inte,+525563605406,no,Llamada,no,Web primero (luego IA),Industrial equipment supplier,CDMX,," Av. Pdte. Masaryk 120, Polanco, Polanco V S"
Cedis Centro Historico,+525520650552,no,Llamada,no,Web primero (luego IA),Store,CDMX,," Cda. San Ciprian 27, Zona Centro, Venustian"
Mundo En Distribucion De Tiempo Ai,+525555182297,no,Llamada,no,Web primero (luego IA),Distribution service,CDMX,," República de Uruguay 23, Centro Histórico d"
Centro de Distribución las Aguilas,+525515524331,no,Llamada,no,Web primero (luego IA),Pantry,CDMX,," 5 de Mayo 23, Nueva Santa Martha, 57920 Cda"
Gnmx-Monterrey,+528183453826,no,Llamada,no,Web primero (luego IA),Government office,Monterrey,," Modesto Arreola Ote. 404, Centro, 64000 Mon"
Wise Interactions SA de CV,+525544256100,no,Llamada,no,Web primero (luego IA),Media company,Guadalajara,," San Luis Potosí 199-Piso 10, Roma Nte., Cua"
HIB Center,+523338393275,no,Llamada,no,Web primero (luego IA),Call center,Guadalajara,," 302, Avenida Ignacio Luis Vallarta 1393, Co"
Call Center De Mexico Sa De Cv,+525555675836,no,Llamada,no,Web primero (luego IA),Call center,Guadalajara,," Pte 150 838, Industrial Vallejo, Azcapotzal"
HEB Call Center,+528181531223,no,Llamada,no,Web primero (luego IA),Call center,Monterrey,," Av. Dr. José Eleuterio González 315, Jardin"
Cobranza Positiva,+528183453149,no,Llamada,no,Web primero (luego IA),Legal services,Monterrey,," 64000, Centro, 64000 Monterrey, N.L."
unicredit,+525589385922,no,Llamada,no,Web primero (luego IA),Debt collection agency,Monterrey,," Av. Batallón de San Patricio 109-piso 7, Va"
Distribuidora de Universal de Méxi,+525555224631,no,Llamada,no,Web primero (luego IA),Distribution service,CDMX,," Calle de Mesones 145, Centro Histórico de l"
Distribuidora Martínez,+525593481833,no,Llamada,no,Web primero (luego IA),Store,CDMX,," Lago Míchigan 2, Tacuba, Miguel Hidalgo, 11"
DISTRIBUIDORA DIPOSAN,+525557042717,no,Llamada,no,Web primero (luego IA),Distribution service,CDMX,," Av. Canal del Nte. 296, 5o Tramo 20 de Novi"
Distribuidora Shalom,+525555226145,no,Llamada,no,Web primero (luego IA),Variety store,CDMX,," Calle de Roldán 118, La Merced, Centro, Cua"
Distribuidora,+523322582955,no,Llamada,no,Web primero (luego IA),Store,Guadalajara,," J. del Fierro 438, Pedro Moreno, 45130 Guad"
Distribuidora Profesional cosmetic,+523336132104,no,Llamada,no,Web primero (luego IA),Distribution service,Guadalajara,," Av Juárez 490, Zona Centro, 44100 Guadalaja"
