lead_score,lead_reasons,name,category,address,phone,phone_e164,phone_valid,whatsapp,business_status,last_review,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url
6,No website | No reviews,Carlos Enrique Cantú Rosas,Import export company," C. Héroe de Nacataz 2404, Fraccionamiento Ojo Caliente, 88000 Nuevo Laredo, Tamps.",867 712 4466,+528677124466,True,https://wa.me/528677124466,open,,,False,None,None,agencia aduanal,Nuevo Laredo Mexico,2026-06-11,https://www.google.com/maps/place/Carlos+Enrique+Cant%C3%BA+Rosas/data=!4m7!3m6!1s0x8661223415465e73:0x81ee4a3f5ea1b15c!8m2!3d27.4868259!4d-99.5049438!16s%2Fg%2F1tycx20m!19sChIJc15GFTQiYYYRXLGhXj9K7oE
6,No website | No reviews,De la Miyar Garza Agencia Aduanal S.C,Freight forwarding service," Gutierrez 3411, Sector Centro, 88000 Nuevo Laredo, Tamps.",867 712 5779,+528677125779,True,https://wa.me/528677125779,open,,,False,None,None,agencia aduanal,Nuevo Laredo Mexico,2026-06-11,https://www.google.com/maps/place/De+la+Miyar+Garza+Agencia+Aduanal+S.C/data=!4m7!3m6!1s0x866123cc64ba0de1:0xc471c3ceb201b9ba!8m2!3d27.4901227!4d-99.5113481!16s%2Fg%2F1th63t7d!19sChIJ4Q26ZMwjYYYRurkBss7DccQ
6,No website | No reviews,Servicios Aduanales,Association / Organization," C. Nicolas Bravo 2233, Sector Centro, 88000 Nuevo Laredo, Tamps.",867 750 8055,+528677508055,True,https://wa.me/528677508055,open,,,False,None,None,agencia aduanal,Nuevo Laredo Mexico,2026-06-11,https://www.google.com/maps/place/Servicios+Aduanales/data=!4m7!3m6!1s0x8661222cf946ad75:0x1327b42858d76a84!8m2!3d27.4973527!4d-99.5031006!16s%2Fg%2F12hs6h9jc!19sChIJda1G-SwiYYYRhGrXWCi0JxM
6,No website | No reviews,GRUPO ESPARZA TRAMITADOR ADUANAL,Customs broker," MANUEL J CLOUHTIER 10052, 32692 Juárez, Chih.",656 682 1517,+526566821517,True,https://wa.me/526566821517,open,,,False,None,None,agencia aduanal,Ciudad Juarez Mexico,2026-06-11,https://www.google.com/maps/place/GRUPO+ESPARZA+TRAMITADOR+ADUANAL/data=!4m7!3m6!1s0x86e743336bede739:0xf9ee84d3bd34c5cb!8m2!3d31.6547291!4d-106.3429095!16s%2Fg%2F11nmcp3q5j!19sChIJOeftazND54YRy8U0vdOE7vk
6,No website | No reviews,Transportes Monterrey Sa De Cv,Transportation service," 16 de Septiembre 176, San Martin Xochinahuac, Azcapotzalco, 02150 Ciudad de México, CDMX",55 2626 5400,+525526265400,True,https://wa.me/525526265400,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Transportes+Monterrey+Sa+De+Cv/data=!4m7!3m6!1s0x85d21ce7601f431d:0x15828cd94cdb69be!8m2!3d19.4955387!4d-99.1923172!16s%2Fg%2F1tjv3w5p!19sChIJHUMfYOcc0oURvmnbTNmMghU
6,No website | No reviews,Transportes Pitic Monterrey,Trucking company," I. Comonfort 707, Bella Vista, 64410 Monterrey, N.L.",81 1292 0030,+528112920030,True,https://wa.me/528112920030,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Transportes+Pitic+Monterrey/data=!4m7!3m6!1s0x866295c6d66020b5:0x9a3005ebfa6d6e9d!8m2!3d25.7032669!4d-100.3192294!16s%2Fg%2F11c2kyyyf7!19sChIJtSBg1saVYoYRnW5t-usFMJo
6,No website | No reviews,Transportadores Unidos Carga,Freight forwarding service," Pascual Ortiz Rubio 1600, Niño Artillero, 64280 Monterrey, N.L.",81 8351 5828,+528183515828,True,https://wa.me/528183515828,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Transportadores+Unidos+Carga/data=!4m7!3m6!1s0x866295cad06b931d:0x48b33af2f8780091!8m2!3d25.719919!4d-100.3297203!16s%2Fg%2F1tmxfzzt!19sChIJHZNr0MqVYoYRkQB4-PI6s0g
6,No website | No reviews,Expo Proveedores del Transporte y Logística Monterrey,Trucking company," Av fundidores 508, Obrera, 64000 Monterrey, N.L.",81 2257 0974,+528122570974,True,https://wa.me/528122570974,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Expo+Proveedores+del+Transporte+y+Log%C3%ADstica+Monterrey/data=!4m7!3m6!1s0x8662956bb69bf289:0x4e531142a25da031!8m2!3d25.6791184!4d-100.289154!16s%2Fg%2F11ywghnhzd!19sChIJifKbtmuVYoYRMaBdokIRU04
6,No website | No reviews,Transportes Monterrey S.A. de C.V.,Transportation service," Antiguo Camino a S. José de Los Sauces 100, Sin Nombre de Col 13, 66050 Cdad. Gral. Escobedo, N.L.",81 8154 9500,+528181549500,True,https://wa.me/528181549500,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Transportes+Monterrey+S.A.+de+C.V./data=!4m7!3m6!1s0x8662931bea81438f:0x52127fc01d28afe3!8m2!3d25.8092773!4d-100.292302!16s%2Fg%2F1tfkr5v5!19sChIJj0OB6huTYoYR468oHcB_ElI
6,No website | No reviews,Central de Fletes Monterrey S.A. de C.V.,Moving service," Av Acueducto de Tenayuca 83, San José de la Escalera, Gustavo A. Madero, 07630 Ciudad de México, CDMX",55 5039 9004,+525550399004,True,https://wa.me/525550399004,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Central+de+Fletes+Monterrey+S.A.+de+C.V./data=!4m7!3m6!1s0x85d1f82096b5e375:0x1de8fe8b20ea2dc7!8m2!3d19.5275254!4d-99.1634729!16s%2Fg%2F1tc_4flb!19sChIJdeO1liD40YURxy3qIIv-6B0
6,No website | No reviews,Fletes y mudanzas FLETES.EXPRES.ZMG,Moving service," Zapopan, 45185 Guadalajara, Jal.",33 2556 6507,+523325566507,True,https://wa.me/523325566507,open,,,False,None,None,fletes y mudanzas,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Fletes+y+mudanzas+FLETES.EXPRES.ZMG/data=!4m7!3m6!1s0x8428af1f60b11e93:0x2aab4c9e1d641c95!8m2!3d20.7271078!4d-103.3681437!16s%2Fg%2F11s7fpzxyr!19sChIJkx6xYB-vKIQRlRxkHZ5Mqyo
6,No website | No reviews,Fletes y mudanzas Checkos,Moving service," Juan Alvarez #1585 Entre Iturbide y, C. Pedro Antonio Buzeta, 44600 Guadalajara, Jal.",33 1416 9964,+523314169964,True,https://wa.me/523314169964,open,,,False,None,None,fletes y mudanzas,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Fletes+y+mudanzas+Checkos/data=!4m7!3m6!1s0x8428af68d54ef537:0x17e4f1c225f44ec3!8m2!3d20.6848909!4d-103.3690308!16s%2Fg%2F11mw7ll25x!19sChIJN_VO1WivKIQRw070JcLx5Bc
6,No website | No reviews,Fletes y Mudanzas en Guadalajara Zapopan,Transportation service," C. Noruega 938, Moderna, 44190 Guadalajara, Jal.",33 4804 9585,+523348049585,True,https://wa.me/523348049585,open,,,False,None,None,fletes y mudanzas,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Fletes+y+Mudanzas+en+Guadalajara+Zapopan/data=!4m7!3m6!1s0x8428b3001a309ed7:0xac4f917b03132f4d!8m2!3d20.6625808!4d-103.3532177!16s%2Fg%2F11n9xhm0g5!19sChIJ154wGgCzKIQRTS8TA3uRT6w
6,No website | No reviews,Fletes y mudanzas,Transportation service," Calle capulin 400, Capulin #400, 44739 Guadalajara, Jal.",33 1475 1464,+523314751464,True,https://wa.me/523314751464,open,,,False,None,None,fletes y mudanzas,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Fletes+y+mudanzas/data=!4m7!3m6!1s0x8428b5b35c6bb4cb:0x5d32bef3a593cabc!8m2!3d20.7365295!4d-103.3591557!16s%2Fg%2F11g4j9t591!19sChIJy7RrXLO1KIQRvMqTpfO-Ml0
6,No website | No reviews,Fletes y mudanzas avalos,Moving service," C. Montreal 740, Providencia, 44630 Guadalajara, Jal.",33 1520 2754,+523315202754,True,https://wa.me/523315202754,open,,,False,None,None,fletes y mudanzas,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Fletes+y+mudanzas+avalos/data=!4m7!3m6!1s0x8428afa93d18d10d:0x21f23a176547438b!8m2!3d20.687852!4d-103.3808877!16s%2Fg%2F11gtgbz4xz!19sChIJDdEYPamvKIQRi0NHZRc68iE
6,No website | No reviews,FLETES ECONOMICOS,Trucking company," C. Ahuizotl 4767, Nueva España, 44980 Guadalajara, Jal.",33 1521 1848,+523315211848,True,https://wa.me/523315211848,open,,,False,None,None,fletes y mudanzas,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/FLETES+ECONOMICOS/data=!4m7!3m6!1s0x8428abb3a23e3ef1:0x9c36b79527436103!8m2!3d20.6160299!4d-103.3919124!16s%2Fg%2F11ll3d9pgy!19sChIJ8T4-orOrKIQRA2FDJ5W3Npw
6,No website | No reviews,"Fletes y mudanzas "" García """,Moving service,,33 1572 5393,+523315725393,True,https://wa.me/523315725393,open,,,False,None,None,fletes y mudanzas,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Fletes+y+mudanzas+%22+Garc%C3%ADa+%22/data=!4m7!3m6!1s0x8428b50508e8b2bb:0x8eee3e741caf6f16!8m2!3d20.6307942!4d-103.3420137!16s%2Fg%2F11p0_7dy5p!19sChIJu7LoCAW1KIQRFm-vHHQ-7o4
6,No website | No reviews,Despacho contable Mora Lira,Accountant," C. José María Morelos 1864-int 12, Ladrón de Guevara, Lafayette, 44600 Guadalajara, Jal.",33 3639 0395,+523336390395,True,https://wa.me/523336390395,open,,,False,None,None,despacho contable,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+contable+Mora+Lira/data=!4m7!3m6!1s0x8428b24fd3674cef:0x194ec2c5f91ed9c2!8m2!3d20.6760599!4d-103.3729949!16s%2Fg%2F1yg4v7fp7!19sChIJ70xn00-yKIQRwtke-cXCThk
6,No website | No reviews,Alvarado Despacho Contable,Accountant," C. Tomas Ramon Del Moral 4299, Villa Hermosa, 44948 Guadalajara, Jal.",33 1974 7887,+523319747887,True,https://wa.me/523319747887,open,,,False,None,None,despacho contable,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Alvarado+Despacho+Contable/data=!4m7!3m6!1s0x8428b3e55061575d:0x2b9014096b3b3198!8m2!3d20.624462!4d-103.3508852!16s%2Fg%2F11h033r37h!19sChIJXVdhUOWzKIQRmDE7awkUkCs
6,No website | No reviews,Corporativo Contable Barrera y Asociados S.C.,Certified public accountant," C. José María Vigil 2882, Lomas de Providencia, 44647 Guadalajara, Jal.",33 1826 7579,+523318267579,True,https://wa.me/523318267579,open,,,False,None,None,despacho contable,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Corporativo+Contable+Barrera+y+Asociados+S.C./data=!4m7!3m6!1s0x8428af0411a29a59:0xc51655a110c88da0!8m2!3d20.6915624!4d-103.3854289!16s%2Fg%2F11j1vpczgx!19sChIJWZqiEQSvKIQRoI3IEKFVFsU
