lead_score,lead_reasons,name,category,address,phone,phone_e164,phone_valid,whatsapp,business_status,last_review,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url
-6,No website | No reviews,Despacho Jurídico Contables Flores Bilchis y Asociados,Lawyer," Ballena 39, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX",55 5260 3677,+525552603677,True,https://wa.me/525552603677,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Jur%C3%ADdico+Contables+Flores+Bilchis+y+Asociados/data=!4m7!3m6!1s0x85d1f8b188ade9b3:0xbf85045b36233e03!8m2!3d19.4374159!4d-99.176971!16s%2Fg%2F1vtzhk8p!19sChIJs-mtiLH40YURAz4jNlsEhb8
--6,No website | No reviews,"Despacho Contable Fiscal HERFLO CONTADORES,S.C",Certified public accountant," Av. Pdte. Masaryk 111, Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX",55 5583 1106,+525555831106,True,https://wa.me/525555831106,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,"https://www.google.com/maps/place/Despacho+Contable+Fiscal+HERFLO+CONTADORES,S.C/data=!4m7!3m6!1s0x85d1f9d558b1b04b:0xbe43fd9c95920353!8m2!3d19.4319472!4d-99.1860116!16s%2Fg%2F11gmwb_wk7!19sChIJS7CxWNX50YURUwOSlZz9Q74"
--6,No website | No reviews,Despacho Contable Gaytán y Asociados.,Accountant," Bradley 57, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX",55 8806 2339,+525588062339,True,https://wa.me/525588062339,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+Gayt%C3%A1n+y+Asociados./data=!4m7!3m6!1s0x85d1ffb6427cd975:0xa6a6580fd96a90b6!8m2!3d19.431741!4d-99.1786364!16s%2Fg%2F11qnq0cbk8!19sChIJddl8Qrb_0YURtpBq2Q9YpqY
6,No website | No reviews,DESPACHO CONTABLE Y FISCAL,Corporate office," Mar Adriático 20, Popotla, Miguel Hidalgo, 11400 Ciudad de México, CDMX",55 2955 1858,+525529551858,True,https://wa.me/525529551858,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/DESPACHO+CONTABLE+Y+FISCAL/data=!4m7!3m6!1s0x85d1f9728c1dc5b9:0x6dcc160ba9a559b0!8m2!3d19.452805!4d-99.1837119!16s%2Fg%2F11gxmv20sv!19sChIJucUdjHL50YURsFmlqQsWzG0
6,No website | No reviews,Despacho Contable Grupo Ferbea,Certified public accountant," Av. P.º de la Reforma 403 - 1204, Cuauhtémoc, 06500 Ciudad de México, CDMX",55 1822 8302,+525518228302,True,https://wa.me/525518228302,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+Grupo+Ferbea/data=!4m7!3m6!1s0x85d1ff4bd09712ed:0xa9b7158bd1c50d1b!8m2!3d19.4260056!4d-99.1711057!16s%2Fg%2F11cs607f4v!19sChIJ7RKX0Ev_0YURGw3F0YsVt6k
-6,No website | No reviews,Despacho Contable Benítez de la Rosa.,Bookkeeping service," C. Nogal 94-oficina 106, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX",55 6272 9447,+525562729447,True,https://wa.me/525562729447,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+Ben%C3%ADtez+de+la+Rosa./data=!4m7!3m6!1s0x85d1f9e4593e0b97:0x56c69c90e4486cdd!8m2!3d19.4470366!4d-99.1642645!16s%2Fg%2F11gl0v2vf1!19sChIJlws-WeT50YUR3WxI5JCcxlY
6,No website | No reviews,Abitat Constructora,Construction company," Lago Alberto 369, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX",55 9688 8034,+525596888034,True,https://wa.me/525596888034,open,,,False,None,None,constructora,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Abitat+Constructora/data=!4m7!3m6!1s0x85d1f8ae4341d4c5:0x9a3acc39a99a80c!8m2!3d19.4386937!4d-99.1808105!16s%2Fg%2F11c25r7gkg!19sChIJxdRBQ6740YURDKiZmsOsowk
6,No website | No reviews,Casa Constructora,Construction company," Lago Ammer No. 129, Pensil Nte., Miguel Hidalgo, 11430 Ciudad de México, CDMX",55 3512 7926,+525535127926,True,https://wa.me/525535127926,open,,,False,None,None,constructora,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Casa+Constructora/data=!4m7!3m6!1s0x85d202095a73ad65:0xa373f87e08659b2!8m2!3d19.447479!4d-99.194724!16s%2Fg%2F11flrpg8bd!19sChIJZa1zWgkC0oURslmG4Ic_Nwo
6,No website | No reviews,Cobague Construcciones,Construction company," Calz. Gral. Mariano Escobedo 375, Polanco, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX",55 7307 5697,+525573075697,True,https://wa.me/525573075697,open,,,False,None,None,constructora,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Cobague+Construcciones/data=!4m7!3m6!1s0x85d1f8ac15a3e213:0x10c849fb2daef331!8m2!3d19.4355253!4d-99.1830877!16s%2Fg%2F11flrpg_sn!19sChIJE-KjFaz40YURMfOuLftJyBA
6,No website | No reviews,Condominio Sol del sureste,Condominium rental agency," C. 19 64, 77524 Cancún, Q.R.",998 291 3916,+529982913916,True,https://wa.me/529982913916,open,,,False,None,None,administracion de condominios,Cancun Mexico,2026-06-11,https://www.google.com/maps/place/Condominio+Sol+del+sureste/data=!4m7!3m6!1s0x8f4c2d69d36d40f5:0x9ca04e23a7e802b4!8m2!3d21.1748198!4d-86.8222101!16s%2Fg%2F11h5drz1tv!19sChIJ9UBt02ktTI8RtALopyNOoJw


6,No website | No reviews,Jurídico Ruiz,General practice attorney," C. Manuel Gutiérrez Nájera 1218, Miraflores, 44270 Guadalajara, Jal.",33 1447 4428,+523314474428,True,https://wa.me/523314474428,open,,,False,None,None,despacho juridico,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Jur%C3%ADdico+Ruiz/data=!4m7!3m6!1s0x8428b11507fb1217:0x66718055d8d581f2!8m2!3d20.6954366!4d-103.3443183!16s%2Fg%2F11q1p0x1lb!19sChIJFxL7BxWxKIQR8oHV2FWAcWY
-6,No website | No reviews,Despacho Velasco y Asociados,Lawyer," Interior 1303, Av. 16 de Septiembre 730-piso 13, Mexicaltzingo, 44180 Guadalajara, Jal.",33 1520 6141,+523315206141,True,https://wa.me/523315206141,open,,,False,None,None,despacho juridico,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Velasco+y+Asociados/data=!4m7!3m6!1s0x8428b300018b9715:0xa571165e5c1e5b35!8m2!3d20.6647619!4d-103.3492305!16s%2Fg%2F11ysw_yl37!19sChIJFZeLAQCzKIQRNVseXF4WcaU
6,No website | No reviews,Corporativo Jurídico Magallón y Asociados,General practice attorney," C. Chihuahua 1092, La Guadalupana, 44260 Guadalajara, Jal.",33 3114 4864,+523331144864,True,https://wa.me/523331144864,open,,,False,None,None,despacho juridico,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Corporativo+Jur%C3%ADdico+Magall%C3%B3n+y+Asociados/data=!4m7!3m6!1s0x8428b1f2b91438db:0x92a8a8056a8886a5!8m2!3d20.7024579!4d-103.3499839!16s%2Fg%2F11fggcwsyy!19sChIJ2zgUufKxKIQRpYaIagWoqJI
6,No website | No reviews,Notaría Pública No. 51,Legal services," Av. 3 Poniente 2504, San Matías, 72090 Heroica Puebla de Zaragoza, Pue.",222 231 0388,+522222310388,True,https://wa.me/522222310388,open,,,False,None,None,notaria publica,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Notar%C3%ADa+P%C3%BAblica+No.+51/data=!4m7!3m6!1s0x85cfc12a726f0261:0xf1cad7fb9780f19d!8m2!3d19.0531706!4d-98.2174103!16s%2Fg%2F1tfhgrj4!19sChIJYQJvcirBz4URnfGAl_vXyvE
6,No website | No reviews,Notary Public 6,Legal services," C. Oriental 6, La Paz, 72160 Heroica Puebla de Zaragoza, Pue.",222 296 6014,+522222966014,True,https://wa.me/522222966014,open,,,False,None,None,notaria publica,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Notary+Public+6/data=!4m7!3m6!1s0x85cfc6d646ff1ecd:0xd7128eea8d17214c!8m2!3d19.0564673!4d-98.2311451!16s%2Fg%2F1ptysh9rj!19sChIJzR7_RtbGz4URTCEXjeqOEtc
6,No website | No reviews,Notaria Pública No. 7,Notary public," C. 16 de Septiembre 1509, El Carmen, 72530 Heroica Puebla de Zaragoza, Pue.",222 237 9715,+522222379715,True,https://wa.me/522222379715,open,,,False,None,None,notaria publica,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Notaria+P%C3%BAblica+No.+7/data=!4m7!3m6!1s0x85cfc0c2f4338e9f:0xa6d2daad84052013!8m2!3d19.0385021!4d-98.2021735!16s%2Fg%2F11bbrjb8w6!19sChIJn44z9MLAz4UREyAFhK3a0qY
