lead_score,lead_reasons,name,category,address,phone,phone_e164,phone_valid,whatsapp,business_status,last_review,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url,whatsapp_verified,whatsapp_jid
6,No website | No reviews,Carlos Enrique Cantú Rosas,Import export company," C. Héroe de Nacataz 2404, Fraccionamiento Ojo Caliente, 88000 Nuevo Laredo, Tamps.",867 712 4466,+528677124466,True,https://wa.me/528677124466,open,,,False,None,None,agencia aduanal,Nuevo Laredo Mexico,2026-06-11,https://www.google.com/maps/place/Carlos+Enrique+Cant%C3%BA+Rosas/data=!4m7!3m6!1s0x8661223415465e73:0x81ee4a3f5ea1b15c!8m2!3d27.4868259!4d-99.5049438!16s%2Fg%2F1tycx20m!19sChIJc15GFTQiYYYRXLGhXj9K7oE,no,
6,No website | No reviews,De la Miyar Garza Agencia Aduanal S.C,Freight forwarding service," Gutierrez 3411, Sector Centro, 88000 Nuevo Laredo, Tamps.",867 712 5779,+528677125779,True,https://wa.me/528677125779,open,,,False,None,None,agencia aduanal,Nuevo Laredo Mexico,2026-06-11,https://www.google.com/maps/place/De+la+Miyar+Garza+Agencia+Aduanal+S.C/data=!4m7!3m6!1s0x866123cc64ba0de1:0xc471c3ceb201b9ba!8m2!3d27.4901227!4d-99.5113481!16s%2Fg%2F1th63t7d!19sChIJ4Q26ZMwjYYYRurkBss7DccQ,no,
6,No website | No reviews,Servicios Aduanales,Association / Organization," C. Nicolas Bravo 2233, Sector Centro, 88000 Nuevo Laredo, Tamps.",867 750 8055,+528677508055,True,https://wa.me/528677508055,open,,,False,None,None,agencia aduanal,Nuevo Laredo Mexico,2026-06-11,https://www.google.com/maps/place/Servicios+Aduanales/data=!4m7!3m6!1s0x8661222cf946ad75:0x1327b42858d76a84!8m2!3d27.4973527!4d-99.5031006!16s%2Fg%2F12hs6h9jc!19sChIJda1G-SwiYYYRhGrXWCi0JxM,yes,5218677508055@s.whatsapp.net
6,No website | No reviews,GRUPO ESPARZA TRAMITADOR ADUANAL,Customs broker," MANUEL J CLOUHTIER 10052, 32692 Juárez, Chih.",656 682 1517,+526566821517,True,https://wa.me/526566821517,open,,,False,None,None,agencia aduanal,Ciudad Juarez Mexico,2026-06-11,https://www.google.com/maps/place/GRUPO+ESPARZA+TRAMITADOR+ADUANAL/data=!4m7!3m6!1s0x86e743336bede739:0xf9ee84d3bd34c5cb!8m2!3d31.6547291!4d-106.3429095!16s%2Fg%2F11nmcp3q5j!19sChIJOeftazND54YRy8U0vdOE7vk,no,
6,No website | No reviews,Transportes Monterrey Sa De Cv,Transportation service," 16 de Septiembre 176, San Martin Xochinahuac, Azcapotzalco, 02150 Ciudad de México, CDMX",55 2626 5400,+525526265400,True,https://wa.me/525526265400,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Transportes+Monterrey+Sa+De+Cv/data=!4m7!3m6!1s0x85d21ce7601f431d:0x15828cd94cdb69be!8m2!3d19.4955387!4d-99.1923172!16s%2Fg%2F1tjv3w5p!19sChIJHUMfYOcc0oURvmnbTNmMghU,no,
6,No website | No reviews,Transportes Pitic Monterrey,Trucking company," I. Comonfort 707, Bella Vista, 64410 Monterrey, N.L.",81 1292 0030,+528112920030,True,https://wa.me/528112920030,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Transportes+Pitic+Monterrey/data=!4m7!3m6!1s0x866295c6d66020b5:0x9a3005ebfa6d6e9d!8m2!3d25.7032669!4d-100.3192294!16s%2Fg%2F11c2kyyyf7!19sChIJtSBg1saVYoYRnW5t-usFMJo,no,
6,No website | No reviews,Transportadores Unidos Carga,Freight forwarding service," Pascual Ortiz Rubio 1600, Niño Artillero, 64280 Monterrey, N.L.",81 8351 5828,+528183515828,True,https://wa.me/528183515828,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Transportadores+Unidos+Carga/data=!4m7!3m6!1s0x866295cad06b931d:0x48b33af2f8780091!8m2!3d25.719919!4d-100.3297203!16s%2Fg%2F1tmxfzzt!19sChIJHZNr0MqVYoYRkQB4-PI6s0g,no,
6,No website | No reviews,Expo Proveedores del Transporte y Logística Monterrey,Trucking company," Av fundidores 508, Obrera, 64000 Monterrey, N.L.",81 2257 0974,+528122570974,True,https://wa.me/528122570974,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Expo+Proveedores+del+Transporte+y+Log%C3%ADstica+Monterrey/data=!4m7!3m6!1s0x8662956bb69bf289:0x4e531142a25da031!8m2!3d25.6791184!4d-100.289154!16s%2Fg%2F11ywghnhzd!19sChIJifKbtmuVYoYRMaBdokIRU04,yes,5218122570974@s.whatsapp.net
6,No website | No reviews,Transportes Monterrey S.A. de C.V.,Transportation service," Antiguo Camino a S. José de Los Sauces 100, Sin Nombre de Col 13, 66050 Cdad. Gral. Escobedo, N.L.",81 8154 9500,+528181549500,True,https://wa.me/528181549500,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Transportes+Monterrey+S.A.+de+C.V./data=!4m7!3m6!1s0x8662931bea81438f:0x52127fc01d28afe3!8m2!3d25.8092773!4d-100.292302!16s%2Fg%2F1tfkr5v5!19sChIJj0OB6huTYoYR468oHcB_ElI,no,
6,No website | No reviews,Central de Fletes Monterrey S.A. de C.V.,Moving service," Av Acueducto de Tenayuca 83, San José de la Escalera, Gustavo A. Madero, 07630 Ciudad de México, CDMX",55 5039 9004,+525550399004,True,https://wa.me/525550399004,open,,,False,None,None,empresa de transporte de carga,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/Central+de+Fletes+Monterrey+S.A.+de+C.V./data=!4m7!3m6!1s0x85d1f82096b5e375:0x1de8fe8b20ea2dc7!8m2!3d19.5275254!4d-99.1634729!16s%2Fg%2F1tc_4flb!19sChIJdeO1liD40YURxy3qIIv-6B0,no,
6,No website | No reviews,Fletes y mudanzas FLETES.EXPRES.ZMG,Moving service," Zapopan, 45185 Guadalajara, Jal.",33 2556 6507,+523325566507,True,https://wa.me/523325566507,open,,,False,None,None,fletes y mudanzas,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Fletes+y+mudanzas+FLETES.EXPRES.ZMG/data=!4m7!3m6!1s0x8428af1f60b11e93:0x2aab4c9e1d641c95!8m2!3d20.7271078!4d-103.3681437!16s%2Fg%2F11s7fpzxyr!19sChIJkx6xYB-vKIQRlRxkHZ5Mqyo,yes,5213325566507@s.whatsapp.net
