name,address,already_sent,business_status,category,has_website,last_review,lead_reasons,lead_score,maps_url,phone,phone_e164,phone_valid,rating,reviews,scraped_date,search_location,search_query,wa_message,website,whatsapp,whatsapp_jid,whatsapp_verified
Servicios Aduanales," C. Nicolas Bravo 2233, Sector Centro, 88000 Nuevo Laredo, Tamps.",yes,open,Association / Organization,False,,No website | No reviews,6,https://www.google.com/maps/place/Servicios+Aduanales/data=!4m7!3m6!1s0x8661222cf946ad75:0x1327b42858d76a84!8m2!3d27.4973527!4d-99.5031006!16s%2Fg%2F12hs6h9jc!19sChIJda1G-SwiYYYRhGrXWCi0JxM,867 750 8055,+528677508055,True,None,None,2026-06-11,Nuevo Laredo Mexico,agencia aduanal,"Hola, ¿Servicios Aduanales? Los vi en Google Maps. Pregunta rápida: pedimentos, facturas y fotos de carga que llegan por WhatsApp y correo, ¿cómo los arman por operación? Soy Ricardo, empresa mexicana de software — construimos algo que ordena toda esa documentación por embarque. ¿Le cuento en 2 mensajes?",,https://wa.me/528677508055,5218677508055@s.whatsapp.net,yes
Expo Proveedores del Transporte y Logística Monterrey," Av fundidores 508, Obrera, 64000 Monterrey, N.L.",yes,open,Trucking company,False,,No website | No reviews,6,https://www.google.com/maps/place/Expo+Proveedores+del+Transporte+y+Log%C3%ADstica+Monterrey/data=!4m7!3m6!1s0x8662956bb69bf289:0x4e531142a25da031!8m2!3d25.6791184!4d-100.289154!16s%2Fg%2F11ywghnhzd!19sChIJifKbtmuVYoYRMaBdokIRU04,81 2257 0974,+528122570974,True,None,None,2026-06-11,Monterrey Mexico,empresa de transporte de carga,"Qué tal Expo Proveedores del Transporte y Logística Monterrey, los encontré en Maps. Duda de colega: ¿cuánto tiempo se va el equipo juntando evidencias de entrega regadas en WhatsApp? Construimos algo que las agrupa por viaje y cliente. Me late mucho su opinión antes de salir — ¿se puede?",,https://wa.me/528122570974,5218122570974@s.whatsapp.net,yes
Fletes y mudanzas FLETES.EXPRES.ZMG," Zapopan, 45185 Guadalajara, Jal.",yes,open,Moving service,False,,No website | No reviews,6,https://www.google.com/maps/place/Fletes+y+mudanzas+FLETES.EXPRES.ZMG/data=!4m7!3m6!1s0x8428af1f60b11e93:0x2aab4c9e1d641c95!8m2!3d20.7271078!4d-103.3681437!16s%2Fg%2F11s7fpzxyr!19sChIJkx6xYB-vKIQRlRxkHZ5Mqyo,33 2556 6507,+523325566507,True,None,None,2026-06-11,Guadalajara Mexico,fletes y mudanzas,"Hola Fletes y mudanzas FLETES.EXPRES.ZMG 👋 Vi su perfil en Google. Pregunta honesta: ¿se les ha perdido la evidencia de una entrega entre tantos WhatsApp? Ando hablando con fleteros porque estamos por sacar una herramienta que resuelve eso. No les vendo nada hoy, busco que me digan si tiene sentido. ¿Les interesa?",,https://wa.me/523325566507,5213325566507@s.whatsapp.net,yes
Fletes y mudanzas Checkos," Juan Alvarez #1585 Entre Iturbide y, C. Pedro Antonio Buzeta, 44600 Guadalajara, Jal.",yes,open,Moving service,False,,No website | No reviews,6,https://www.google.com/maps/place/Fletes+y+mudanzas+Checkos/data=!4m7!3m6!1s0x8428af68d54ef537:0x17e4f1c225f44ec3!8m2!3d20.6848909!4d-103.3690308!16s%2Fg%2F11mw7ll25x!19sChIJN_VO1WivKIQRw070JcLx5Bc,33 1416 9964,+523314169964,True,None,None,2026-06-11,Guadalajara Mexico,fletes y mudanzas,"Hola, ¿Fletes y mudanzas Checkos? 👋 Los vi en Google Maps. Pregunta rápida: cuando un cliente les reclama una entrega, ¿qué tan rápido encuentran la foto de evidencia entre todos los chats? Soy Ricardo, de una empresa mexicana de software — estamos armando una herramienta que ordena justo eso y ando platicando con fleteros antes de lanzar. ¿Le late si le cuento en 2 mensajes?",,https://wa.me/523314169964,5213314169964@s.whatsapp.net,yes
Alvarado Despacho Contable," C. Tomas Ramon Del Moral 4299, Villa Hermosa, 44948 Guadalajara, Jal.",yes,open,Accountant,False,,No website | No reviews,6,https://www.google.com/maps/place/Alvarado+Despacho+Contable/data=!4m7!3m6!1s0x8428b3e55061575d:0x2b9014096b3b3198!8m2!3d20.624462!4d-103.3508852!16s%2Fg%2F11h033r37h!19sChIJXVdhUOWzKIQRmDE7awkUkCs,33 1974 7887,+523319747887,True,None,None,2026-06-11,Guadalajara Mexico,despacho contable,"Hola, ¿Alvarado Despacho Contable? Los vi en Google Maps. Pregunta de colega a colega: ¿cuántas horas se les van cada cierre persiguiendo las facturas y recibos que los clientes mandan en fotos por WhatsApp? Soy Ricardo, empresa mexicana de software — armamos algo que junta y ordena todo eso por cliente. ¿Les interesaría verlo antes de que salga?",,https://wa.me/523319747887,5213319747887@s.whatsapp.net,yes
Corporativo Contable Barrera y Asociados S.C.," C. José María Vigil 2882, Lomas de Providencia, 44647 Guadalajara, Jal.",yes,open,Certified public accountant,False,,No website | No reviews,6,https://www.google.com/maps/place/Corporativo+Contable+Barrera+y+Asociados+S.C./data=!4m7!3m6!1s0x8428af0411a29a59:0xc51655a110c88da0!8m2!3d20.6915624!4d-103.3854289!16s%2Fg%2F11j1vpczgx!19sChIJWZqiEQSvKIQRoI3IEKFVFsU,33 1826 7579,+523318267579,True,None,None,2026-06-11,Guadalajara Mexico,despacho contable,"Qué tal Corporativo Contable Barrera y Asociados, los encontré en Maps. Duda honesta: en temporada, ¿cuánto tiempo pierden bajando comprobantes que llegan por foto y correo desordenados? Estamos construyendo una herramienta mexicana que los acomoda solos por cliente y mes. Su opinión me sirve mucho antes de lanzar — ¿se puede?",,https://wa.me/523318267579,5213318267579@s.whatsapp.net,yes
ALGUSA," Complejo San Pablo Avenida Real 274, San Pablo, 76150 Santiago de Querétaro, Qro.",yes,open,Construction company,False,,No website | No reviews,6,https://www.google.com/maps/place/ALGUSA/data=!4m7!3m6!1s0x85d35aca242fe44b:0xedcd2c614f3795ae!8m2!3d20.6073952!4d-100.4105977!16s%2Fg%2F11h3fs3z_x!19sChIJS-QvJMpa04URrpU3T2Esze0,442 467 4071,+524424674071,True,None,None,2026-06-11,Queretaro Mexico,constructora,"Hola ALGUSA 👋 Vi su perfil en Google. ¿Se pierde evidencia de obra entre los WhatsApp del equipo? Ando hablando con constructoras porque sacamos algo para eso. No vendo hoy, pido feedback. ¿Les interesa?",,https://wa.me/524424674071,5214424674071@s.whatsapp.net,yes
LLBM ADMINISTRACIÓN DE EDIFICIOS," Medellín 79, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",yes,open,Janitorial service,False,,No website | No reviews,6,https://www.google.com/maps/place/LLBM+ADMINISTRACI%C3%93N+DE+EDIFICIOS/data=!4m7!3m6!1s0x85d1ff38421b0001:0x396861239213e820!8m2!3d19.418087!4d-99.1663191!16s%2Fg%2F11vj6qdjl1!19sChIJAQAbQjj_0YURIOgTkiNhaDk,55 5463 5554,+525554635554,True,None,None,2026-06-11,Ciudad de Mexico,administracion de condominios,"Hola, ¿LLBM ADMINISTRACIÓN DE EDIFICIOS? Los vi en Google Maps. Pregunta rápida: los comprobantes de pago y reportes que los condóminos mandan por foto en WhatsApp, ¿cómo los ordenan a fin de mes? Soy Ricardo, empresa mexicana de software — armamos algo que junta todo eso por unidad y mes. ¿Le cuento en 2 mensajes?",,https://wa.me/525554635554,5215554635554@s.whatsapp.net,yes
Administración de Condominios Bock," Gral. Pedro Antonio de Los Santos, San Miguel Chapultepec II Secc, Miguel Hidalgo, 11850 Ciudad de México, CDMX",yes,open,Property administration service,False,,No website | No reviews,6,https://www.google.com/maps/place/Administraci%C3%B3n+de+Condominios+Bock/data=!4m7!3m6!1s0x85d1fff5086a6559:0x3197cbd1206a1dd7!8m2!3d19.4141917!4d-99.1816623!16s%2Fg%2F11j8ljycpw!19sChIJWWVqCPX_0YUR1x1qINHLlzE,55 2536 0218,+525525360218,True,None,None,2026-06-11,Ciudad de Mexico,administracion de condominios,"Qué tal Administración de Condominios Bock, los encontré en Maps. Duda honesta: ¿cuánto batallan juntando evidencias y recibos de mantenimiento que llegan sueltos por chat? Construimos una herramienta que los acomoda por condominio. Su opinión me sirve antes de lanzar — ¿se puede?",,https://wa.me/525525360218,5215525360218@s.whatsapp.net,yes
Casa Constructora," Lago Ammer No. 129, Pensil Nte., Miguel Hidalgo, 11430 Ciudad de México, CDMX",yes,open,Construction company,False,,No website | No reviews,6,https://www.google.com/maps/place/Casa+Constructora/data=!4m7!3m6!1s0x85d202095a73ad65:0xa373f87e08659b2!8m2!3d19.447479!4d-99.194724!16s%2Fg%2F11flrpg8bd!19sChIJZa1zWgkC0oURslmG4Ic_Nwo,55 3512 7926,+525535127926,True,None,None,2026-06-11,Ciudad de Mexico,constructora,"Hola Casa Constructora 👋 Vi su perfil en Google. ¿Se pierde evidencia de obra entre los WhatsApp del equipo? Ando hablando con constructoras porque sacamos algo para eso. No vendo hoy, pido feedback. ¿Les interesa?",,https://wa.me/525535127926,5215535127926@s.whatsapp.net,yes
