lead_score,lead_reasons,name,category,address,phone,phone_e164,phone_valid,whatsapp,business_status,last_review,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url,wa_message
6,No website | No reviews,Carlos Enrique Cantú Rosas,Import export company," C. Héroe de Nacataz 2404, Fraccionamiento Ojo Caliente, 88000 Nuevo Laredo, Tamps.",867 712 4466,+528677124466,True,https://wa.me/528677124466,open,,,False,None,None,agencia aduanal,Nuevo Laredo Mexico,2026-06-11,https://www.google.com/maps/place/Carlos+Enrique+Cant%C3%BA+Rosas/data=!4m7!3m6!1s0x8661223415465e73:0x81ee4a3f5ea1b15c!8m2!3d27.4868259!4d-99.5049438!16s%2Fg%2F1tycx20m!19sChIJc15GFTQiYYYRXLGhXj9K7oE,Hola ¿Carlos Enrique Cantú Rosas? 👋 Los vi en Google Maps. ¿Cómo arman pedimentos y facturas que llegan por WhatsApp y correo? Hicimos algo que los ordena por operación. ¿Le interesa?
6,No website | No reviews,De la Miyar Garza Agencia Aduanal S.C,Freight forwarding service," Gutierrez 3411, Sector Centro, 88000 Nuevo Laredo, Tamps.",867 712 5779,+528677125779,True,https://wa.me/528677125779,open,,,False,None,None,agencia aduanal,Nuevo Laredo Mexico,2026-06-11,https://www.google.com/maps/place/De+la+Miyar+Garza+Agencia+Aduanal+S.C/data=!4m7!3m6!1s0x866123cc64ba0de1:0xc471c3ceb201b9ba!8m2!3d27.4901227!4d-99.5113481!16s%2Fg%2F1th63t7d!19sChIJ4Q26ZMwjYYYRurkBss7DccQ,"Qué tal De la Miyar Garza Agencia Aduanal, los vi en Maps. ¿Se va tiempo juntando documentos de un despacho regados en chats? Tenemos algo que los junta solo. ¿Le cuento rápido?"
6,No website | No reviews,GRUPO ESPARZA TRAMITADOR ADUANAL,Customs broker," MANUEL J CLOUHTIER 10052, 32692 Juárez, Chih.",656 682 1517,+526566821517,True,https://wa.me/526566821517,open,,,False,None,None,agencia aduanal,Ciudad Juarez Mexico,2026-06-11,https://www.google.com/maps/place/GRUPO+ESPARZA+TRAMITADOR+ADUANAL/data=!4m7!3m6!1s0x86e743336bede739:0xf9ee84d3bd34c5cb!8m2!3d31.6547291!4d-106.3429095!16s%2Fg%2F11nmcp3q5j!19sChIJOeftazND54YRy8U0vdOE7vk,"Hola GRUPO ESPARZA TRAMITADOR ADUANAL 👋 Soy Ricardo, software mexicano. ¿Se traspapela un documento de un despacho en WhatsApp? Armamos algo para eso. ¿Le late?"
6,No website | No reviews,Despacho contable Mora Lira,Accountant," C. José María Morelos 1864-int 12, Ladrón de Guevara, Lafayette, 44600 Guadalajara, Jal.",33 3639 0395,+523336390395,True,https://wa.me/523336390395,open,,,False,None,None,despacho contable,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+contable+Mora+Lira/data=!4m7!3m6!1s0x8428b24fd3674cef:0x194ec2c5f91ed9c2!8m2!3d20.6760599!4d-103.3729949!16s%2Fg%2F1yg4v7fp7!19sChIJ70xn00-yKIQRwtke-cXCThk,Hola ¿Despacho contable Mora Lira? 👋 Los vi en Google Maps. ¿Cuánto tiempo se va juntando facturas y recibos que llegan en fotos por WhatsApp? Hicimos algo que los ordena por cliente. ¿Le interesa?
6,No website | No reviews,Despacho Contable López Godina y Asociados,Certified public accountant," Av. 16 de Septiembre 730-114, Mexicaltzingo, 44180 Guadalajara, Jal.",33 3614 1457,+523336141457,True,https://wa.me/523336141457,open,,,False,None,None,despacho contable,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+L%C3%B3pez+Godina+y+Asociados/data=!4m7!3m6!1s0x8428ae1f2d8eb567:0x5339b5dd398564fe!8m2!3d20.6646144!4d-103.3497263!16s%2Fg%2F1yg4d0r39!19sChIJZ7WOLR-uKIQR_mSFOd21OVM,"Qué tal Despacho Contable López Godina y Asociados, los vi en Maps. ¿Batallan en el cierre persiguiendo comprobantes regados en chats? Tenemos algo que los acomoda solo. ¿Le cuento rápido?"
6,No website | No reviews,Accounting and Tax Office,Accountant," C. Fresno 2210, Del Fresno, 44909 Guadalajara, Jal.",33 3810 4175,+523338104175,True,https://wa.me/523338104175,open,,,False,None,None,despacho contable,Guadalajara Mexico,2026-06-11,https://www.google.com/maps/place/Accounting+and+Tax+Office/data=!4m7!3m6!1s0x8428ade3ea0a68f1:0xd6f46e45318bc7d9!8m2!3d20.6591761!4d-103.3749008!16s%2Fg%2F1ptyq6p5x!19sChIJ8WgK6uOtKIQR2ceLMUVu9NY,"Hola Accounting and Tax Office 👋 Soy Ricardo, software mexicano. ¿Pierden horas bajando tickets de WhatsApp? Armamos algo que los ordena por cliente y mes. ¿Le late?"
6,No website | No reviews,TAXAS Despacho contable y fiscal en Monterrey,Bookkeeping service," Planificadores, TORRE CIBELES 2802-PISO 7 INT 56, Empleados Sfeo, 64909 San Pedro Garza García, N.L.",81 2235 1361,+528122351361,True,https://wa.me/528122351361,open,,,False,None,None,despacho contable,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/TAXAS+Despacho+contable+y+fiscal+en+Monterrey/data=!4m7!3m6!1s0x8662bf162a95263f:0x2384dd2200d69c8b!8m2!3d25.6298723!4d-100.300233!16s%2Fg%2F11p4t4d19c!19sChIJPyaVKha_YoYRi5zWACLdhCM,Hola ¿TAXAS Despacho contable y fiscal en Monterrey? 👋 Los vi en Google Maps. ¿Cuánto tiempo se va juntando facturas y recibos que llegan en fotos por WhatsApp? Hicimos algo que los ordena por cliente. ¿Le interesa?
6,No website | No reviews,DESPACHO EOL,Accountant," Monterrey, Centro Urbano Pdte. Juárez, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",55 5598 1388,+525555981388,True,https://wa.me/525555981388,open,,,False,None,None,despacho contable,Monterrey Mexico,2026-06-11,https://www.google.com/maps/place/DESPACHO+EOL/data=!4m7!3m6!1s0x85d1ff7fb733f0ed:0x569b2cec25901dc9!8m2!3d19.4164371!4d-99.16367!16s%2Fg%2F11k61gh13_!19sChIJ7fAzt3__0YURyR2QJewsm1Y,"Qué tal DESPACHO EOL, los vi en Maps. ¿Batallan en el cierre persiguiendo comprobantes regados en chats? Tenemos algo que los acomoda solo. ¿Le cuento rápido?"
6,No website | No reviews,ABC ADMINISTRACION DE CONDOMINIOS,Business management consultant," WTC, Montecito 38, Nápoles, Benito Juárez, 03810 Ciudad de México, CDMX",55 7160 2925,+525571602925,True,https://wa.me/525571602925,open,,,False,None,None,administracion de condominios,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/ABC+ADMINISTRACION+DE+CONDOMINIOS/data=!4m7!3m6!1s0x85d1ff71f4b4bf6d:0x631614d0449c64b2!8m2!3d19.3941439!4d-99.1740012!16s%2Fg%2F11_qnb4kh!19sChIJbb-09HH_0YURsmScRNAUFmM,"Hola ABC ADMINISTRACION DE CONDOMINIOS 👋 Soy Ricardo, software mexicano. ¿El expediente de una unidad está repartido en mil fotos? Armamos algo que lo ordena. ¿Le late?"
6,No website | No reviews,Truvius: comparador de seguros de salud y vida,Health insurance agency," Puebla 387, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",55 4170 8726,+525541708726,True,https://wa.me/525541708726,open,,,False,None,None,agencia de seguros,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Truvius:+comparador+de+seguros+de+salud+y+vida/data=!4m7!3m6!1s0x85d1ff3941cfbc1d:0xbde060638eb940fe!8m2!3d19.420192!4d-99.174518!16s%2Fg%2F11g7y8w1zf!19sChIJHbzPQTn_0YUR_kC5jmNg4L0,Hola ¿Truvius: comparador de seguros de salud y vida? 👋 Los vi en Google Maps. ¿Cómo arman un reclamo con las fotos del siniestro que llegan por WhatsApp? Hicimos algo que las ordena por póliza. ¿Le interesa?
6,No website | No reviews,Despacho Jurídico Contables Flores Bilchis y Asociados,Lawyer," Ballena 39, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX",55 5260 3677,+525552603677,True,https://wa.me/525552603677,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Jur%C3%ADdico+Contables+Flores+Bilchis+y+Asociados/data=!4m7!3m6!1s0x85d1f8b188ade9b3:0xbf85045b36233e03!8m2!3d19.4374159!4d-99.176971!16s%2Fg%2F1vtzhk8p!19sChIJs-mtiLH40YURAz4jNlsEhb8,"Qué tal Despacho Jurídico Contables Flores Bilchis y Asociados, los vi en Maps. ¿Batallan en el cierre persiguiendo comprobantes regados en chats? Tenemos algo que los acomoda solo. ¿Le cuento rápido?"
6,No website | No reviews,"Despacho Contable Fiscal HERFLO CONTADORES,S.C",Certified public accountant," Av. Pdte. Masaryk 111, Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX",55 5583 1106,+525555831106,True,https://wa.me/525555831106,open,,,False,None,None,despacho contable,Ciudad de Mexico,2026-06-11,"https://www.google.com/maps/place/Despacho+Contable+Fiscal+HERFLO+CONTADORES,S.C/data=!4m7!3m6!1s0x85d1f9d558b1b04b:0xbe43fd9c95920353!8m2!3d19.4319472!4d-99.1860116!16s%2Fg%2F11gmwb_wk7!19sChIJS7CxWNX50YURUwOSlZz9Q74","Hola Despacho Contable Fiscal HERFLO CONTADORES 👋 Soy Ricardo, software mexicano. ¿Pierden horas bajando tickets de WhatsApp? Armamos algo que los ordena por cliente y mes. ¿Le late?"
