lead_score,lead_reasons,name,category,address,phone,website,has_website,rating,reviews,maps_url
6,No website | No reviews,Mobile Mechanic R&R,Taller de automóviles,"
2625 NW 22nd Ct, Miami, FL 33142, Estados Unidos","
+1 305-218-9761",,False,,,https://www.google.com/maps/place/Mobile+Mechanic+R%26R/data=!4m7!3m6!1s0x88d9b7f803c3f2fd:0xd3588cc28ab54db6!8m2!3d25.8006936!4d-80.2325485!16s%2Fg%2F11sscszdz6!19sChIJ_fLDA_i32YgRtk21isKMWNM
6,No website | No reviews,J C Car Care Center,Taller de reparación de automóviles,"
5560 NW 27th Ave, Miami, FL 33142, Estados Unidos","
+1 305-633-1824",,False,,,https://www.google.com/maps/place/J+C+Car+Care+Center/data=!4m7!3m6!1s0x88d9b0dc8fb0ee55:0x87ee73b5a51d4973!8m2!3d25.8255677!4d-80.2411421!16s%2Fg%2F1tks736p!19sChIJVe6wj9yw2YgRc0kdpbVz7oc
6,No website | No reviews,Miami Auto Repair Shop Brakes Tune Ups & Collision Multiser Versailles,Taller de reparación de automóviles,"
3231 SW 8th St, Miami, FL 33135, Estados Unidos","
+1 786-474-1311",,False,,,https://www.google.com/maps/place/Miami+Auto+Repair+Shop+Brakes+Tune+Ups+%26+Collision+Multiser+Versailles/data=!4m7!3m6!1s0x88d9b71ca4343793:0xc0a1e852c9687be!8m2!3d25.7651521!4d-80.2478759!16s%2Fg%2F11ppk71f9b!19sChIJkzc0pBy32YgRvoeWLIUeCgw
6,No website | No reviews,"Top Logistics, LLC - Intermodal",Empresa de transporte por camión,"
7306 S Lake Houston Pkwy, Houston, TX 77049, Estados Unidos","
+1 281-436-0378",,False,,,"https://www.google.com/maps/place/Top+Logistics,+LLC+-+Intermodal/data=!4m7!3m6!1s0x8640a53c07565f7d:0xed51e9b9707a9adc!8m2!3d29.832042!4d-95.209293!16s%2Fg%2F11j3txf5hv!19sChIJfV9WBzylQIYR3Jp6cLnpUe0"
6,No website | No reviews,"Moise Car Clinic, LLC",Taller de reparación de automóviles,"
7751 NW 7th Ave, Miami, FL 33150, Estados Unidos","
+1 305-757-9475",,False,,,"https://www.google.com/maps/place/Moise+Car+Clinic,+LLC/data=!4m7!3m6!1s0x88d9b17358b3852d:0xe5561086088f4b0c!8m2!3d25.8459381!4d-80.208857!16s%2Fg%2F1pp2vmw59!19sChIJLYWzWHOx2YgRDEuPCIYQVuU"
6,No website | No reviews,L & N Transport Inc,Empresa de transporte por camión,"
1830 S 27th Ave, Phoenix, AZ 85009, Estados Unidos","
+1 602-484-0563",,False,,,https://www.google.com/maps/place/L+%26+N+Transport+Inc/data=!4m7!3m6!1s0x872b1160cebef251:0x804e825d915227ee!8m2!3d33.4305264!4d-112.1175783!16s%2Fg%2F1tdlc5fv!19sChIJUfK-zmARK4cR7idSkV2CToA
6,No website | No reviews,"M & P Transport Company, INC.",Empresa de transporte por camión,"
3401 S 39th Ave, Phoenix, AZ 85009, Estados Unidos","
+1 602-272-2637",,False,,,"https://www.google.com/maps/place/M+%26+P+Transport+Company,+INC./data=!4m7!3m6!1s0x872b16b14fdfd909:0xfe61aa889155a3d5!8m2!3d33.4181537!4d-112.1428213!16s%2Fg%2F1wv_spby!19sChIJCdnfT7EWK4cR1aNVkYiqYf4"
6,No website | No reviews,United Spring & Manufacturing Co,Fábrica,"
830 N Pulaski Rd, Chicago, IL 60651, Estados Unidos","
+1 773-384-8464",,False,,,https://www.google.com/maps/place/United+Spring+%26+Manufacturing+Co/data=!4m7!3m6!1s0x880e32cd466493f7:0x8af664a198edeb61!8m2!3d41.896399!4d-87.7264682!16s%2Fg%2F1tks6x8w!19sChIJ95NkRs0yDogRYevtmKFk9oo
6,No website | No reviews,Chicago American Manufacturing,Fábrica,"
4500 W 47th St, Chicago, IL 60632, Estados Unidos","
+1 773-376-8600",,False,,,https://www.google.com/maps/place/Chicago+American+Manufacturing/data=!4m7!3m6!1s0x880e3182b59397b9:0xdf0d7adba64d907f!8m2!3d41.8079289!4d-87.7353791!16s%2Fg%2F1tdx03q6!19sChIJuZeTtYIxDogRf5BNptt6Dd8
6,No website | No reviews,Milo Auto Repair Inc,Taller de reparación de automóviles,"
330 NW 22nd Ave, Miami, FL 33125, Estados Unidos","
+1 305-541-7313",,False,,,https://www.google.com/maps/place/Milo+Auto+Repair+Inc/data=!4m7!3m6!1s0x88d9b6e210fb1c61:0xab3dc140cc1d023b!8m2!3d25.776299!4d-80.231349!16s%2Fg%2F1v_nd9ds!19sChIJYRz7EOK22YgROwIdzEDBPas
