lead_score,lead_reasons,name,category,address,phone,website,has_website,rating,reviews,maps_url
1,No reviews,ATL GA Staffing,Agencia de colocación,"
620 Peachtree St NE Suite 100, Atlanta, GA 30308, Estados Unidos",,https://www.atlgastaffing.com/,True,,,https://www.google.com/maps/place/ATL+GA+Staffing/data=!4m7!3m6!1s0x88f50564ffb3c0cd:0x7c749fb66c453311!8m2!3d33.7715793!4d-84.3855543!16s%2Fg%2F11fljjkxrl!19sChIJzcCz_2QF9YgRETNFbLafdHw
1,No reviews,Labor Staffing of Atlanta,Empresa de trabajo temporal,"
3814 N Druid Hills Rd, Decatur, GA 30033, Estados Unidos","
+1 404-688-7168",http://www.laborstaffing.com/,True,,,https://www.google.com/maps/place/Labor+Staffing+of+Atlanta/data=!4m7!3m6!1s0x88f504782167bfaf:0x6b59669462083600!8m2!3d33.8118092!4d-84.277554!16s%2Fg%2F1hc2mpft4!19sChIJr79nIXgE9YgRADYIYpRmWWs
1,No reviews,Essential Staffing Solutions,Agencia de colocación,"
7000 Central Pkwy, Atlanta, GA 30328, Estados Unidos","
+1 844-437-7562",http://www.esolutionspm.com/,True,,,https://www.google.com/maps/place/Essential+Staffing+Solutions/data=!4m7!3m6!1s0x88f50443aa21e697:0x6063a153c9482e27!8m2!3d33.9271716!4d-84.3487003!16s%2Fg%2F11c61rq21j!19sChIJl-YhqkME9YgRJy5IyVOhY2A
1,No reviews,Express Employment Professionals,Agencia de colocación,"
3565 Piedmont Rd NE building 4 suite 205, Atlanta, GA 30305, Estados Unidos","
+1 404-467-2455",https://www.expresspros.com/us-georgia-atlanta-buckhead,True,,,https://www.google.com/maps/place/Express+Employment+Professionals/data=!4m7!3m6!1s0x88f50383585b10f7:0x6c2a7a0ebf6fcb50!8m2!3d33.8522449!4d-84.3786001!16s%2Fg%2F1tdq_kfn!19sChIJ9xBbWIMD9YgRUMtvvw56Kmw
1,No reviews,Focus People,Agencia de colocación,"
2727 Paces Ferry Rd SE Bldg 2, Suite 1675, Atlanta, GA 30339, Estados Unidos","
+1 770-937-0410",https://www.focuspeople.com/,True,,,https://www.google.com/maps/place/Focus+People/data=!4m7!3m6!1s0x88f51030a5158445:0x20cdaa4c4cddbb79!8m2!3d33.8669054!4d-84.4741938!16s%2Fg%2F11cmz2vk02!19sChIJRYQVpTAQ9YgRebvdTEyqzSA
1,No reviews,TeamWRX Atlanta,Empresa de trabajo temporal,"
1691 Phoenix Blvd #390, Atlanta, GA 30349, Estados Unidos","
+1 404-850-0095",http://www.teamwrxstaff.com/atlanta,True,,,https://www.google.com/maps/place/TeamWRX+Atlanta/data=!4m7!3m6!1s0x88f50468bc6424a1:0x366d421653dde6e6!8m2!3d33.6155465!4d-84.4447243!16s%2Fg%2F11g9vvvnkr!19sChIJoSRkvGgE9YgR5ubdUxZCbTY
1,No reviews,First Step Staffing,Agencia de colocación,"
302 Decatur St. SE Suite 103, Atlanta, GA 30312, Estados Unidos","
+1 404-577-3395",http://firststepstaffing.com/,True,,,https://www.google.com/maps/place/First+Step+Staffing/data=!4m7!3m6!1s0x88f5038a2de36309:0x94b3938750fea5b6!8m2!3d33.7499947!4d-84.3800786!16s%2Fg%2F1tglj4d2!19sChIJCWPjLYoD9YgRtqX-UIeTs5Q
1,No reviews,KP Staffing,Agencia de colocación,"
6175 Old National Hwy Ste 170, Atlanta, GA 30349, Estados Unidos","
+1 470-737-4098",https://www.kpstaffing.com/our-office-locations/atlanta-office/,True,,,https://www.google.com/maps/place/KP+Staffing/data=!4m7!3m6!1s0x88f4e35f44fdd041:0xc4ffe4bacde39436!8m2!3d33.5855635!4d-84.4717388!16s%2Fg%2F11mdw1pr0v!19sChIJQdD9RF_j9IgRNpTjzbrk_8Q
1,No reviews,"Staffing Agency Atlanta, Georgia | Resource Wranglers",Encargado de contratación,"
627 E College Ave, Decatur, GA 30030, Estados Unidos","
+1 404-532-9680",https://www.resourcewranglers.com/,True,,,"https://www.google.com/maps/place/Staffing+Agency+Atlanta,+Georgia+%7C+Resource+Wranglers/data=!4m7!3m6!1s0x88f5072c55181d29:0xb2ee50963666c058!8m2!3d33.773342!4d-84.285407!16s%2Fg%2F11lkgv20__!19sChIJKR0YVSwH9YgRWMBmNpZQ7rI"
1,No reviews,SnapCare,Empresa de trabajo temporal,,"
+1 844-804-7627",https://snapcare.com/,True,,,https://www.google.com/maps/place/SnapCare/data=!4m7!3m6!1s0x88f5054bdf323b5f:0x71fbe8f9a77e0ac2!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11f9h4_6hq!19sChIJXzsy30sF9YgRwgp-p_no-3E
