lead_score,lead_reasons,name,category,address,phone,website,has_website,rating,reviews,maps_url
6,No website | No reviews,Miami Auto Repair Shop Brakes Tune Ups & Collision Multiser Versailles,Taller de reparación de automóviles,"
3231 SW 8th St, Miami, FL 33135, Estados Unidos","
+1 786-474-1311",,False,,,https://www.google.com/maps/place/Miami+Auto+Repair+Shop+Brakes+Tune+Ups+%26+Collision+Multiser+Versailles/data=!4m7!3m6!1s0x88d9b71ca4343793:0xc0a1e852c9687be!8m2!3d25.7651521!4d-80.2478759!16s%2Fg%2F11ppk71f9b!19sChIJkzc0pBy32YgRvoeWLIUeCgw
6,No website | No reviews,"Moise Car Clinic, LLC",Taller de reparación de automóviles,"
7751 NW 7th Ave, Miami, FL 33150, Estados Unidos","
+1 305-757-9475",,False,,,"https://www.google.com/maps/place/Moise+Car+Clinic,+LLC/data=!4m7!3m6!1s0x88d9b17358b3852d:0xe5561086088f4b0c!8m2!3d25.8459381!4d-80.208857!16s%2Fg%2F1pp2vmw59!19sChIJLYWzWHOx2YgRDEuPCIYQVuU"
6,No website | No reviews,Milo Auto Repair Inc,Taller de reparación de automóviles,"
330 NW 22nd Ave, Miami, FL 33125, Estados Unidos","
+1 305-541-7313",,False,,,https://www.google.com/maps/place/Milo+Auto+Repair+Inc/data=!4m7!3m6!1s0x88d9b6e210fb1c61:0xab3dc140cc1d023b!8m2!3d25.776299!4d-80.231349!16s%2Fg%2F1v_nd9ds!19sChIJYRz7EOK22YgROwIdzEDBPas
1,No reviews,Rey's Auto Repair Shop,Taller de reparación de automóviles,"
527 SW 15th Ave, Miami, FL 33135, Estados Unidos","
+1 305-541-7339",https://search.app/fXQeVBRakCV64sbB8,True,,,https://www.google.com/maps/place/Rey%27s+Auto+Repair+Shop/data=!4m7!3m6!1s0x88d9b6f0f593c7d3:0x87bb1ec01374f8d5!8m2!3d25.7679903!4d-80.2193274!16s%2Fg%2F1thxlwc9!19sChIJ08eT9fC22YgR1fh0E8Aeu4c
1,No reviews,AutoVice,Taller de reparación de automóviles,"
875 W Flagler St, Miami, FL 33130, Estados Unidos","
+1 305-563-7272",http://www.autovice1.com/,True,,,https://www.google.com/maps/place/AutoVice/data=!4m7!3m6!1s0x88d9b781f256b347:0x8e1eb59585395b0f!8m2!3d25.7739487!4d-80.2091524!16s%2Fg%2F11hd_wwdlv!19sChIJR7NW8oG32YgRD1s5hZW1Ho4
1,No reviews,E T Auto Repair,Taller de reparación de automóviles,"
2319 NW 27th Ave, Miami, FL 33142, Estados Unidos","
+1 305-637-8492",http://elt711.wixsite.com/etautorepair,True,,,https://www.google.com/maps/place/E+T+Auto+Repair/data=!4m7!3m6!1s0x88d9b6b5cf69310d:0x250e6402fc2b22cf!8m2!3d25.798385!4d-80.2396464!16s%2Fg%2F1vfp4fpf!19sChIJDTFpz7W22YgRzyIr_AJkDiU
1,No reviews,Green's Garage,Taller de reparación de automóviles,"
2221 SW 32nd Ave, Miami, FL 33145, Estados Unidos","
+1 305-444-8881",https://www.greensgaragemiami.com/,True,,,https://www.google.com/maps/place/Green%27s+Garage/data=!4m7!3m6!1s0x88d9b7a4d6356979:0xb2c38377a2974489!8m2!3d25.7495784!4d-80.2462346!16s%2Fg%2F1tfxyvbk!19sChIJeWk11qS32YgRiUSXoneDw7I
1,No reviews,Mario's Auto Repair,Taller de reparación de automóviles,"
1160 SW 5th St, Miami, FL 33130, Estados Unidos","
+1 305-815-1067",http://www.miamimarioautorepair.com/,True,,,https://www.google.com/maps/place/Mario%27s+Auto+Repair/data=!4m7!3m6!1s0x88d9b6f23fb4249d:0x47b1899353ab9d3a!8m2!3d25.768561!4d-80.214058!16s%2Fg%2F1tdh4n_r!19sChIJnSS0P_K22YgROp2rU5OJsUc
1,No reviews,Mechanics in Motion LLC Mobile Mechanics - Auto Engine Mobile Mechanic Repair Service in Miami FL,Taller de reparación de automóviles,"
1065 SW 8th St Unit 584, Miami, FL 33130, Estados Unidos","
+1 305-239-2255",http://mechanicsinmotion.tech/,True,,,https://www.google.com/maps/place/Mechanics+in+Motion+LLC+Mobile+Mechanics+-+Auto+Engine+Mobile+Mechanic+Repair+Service+in+Miami+FL/data=!4m7!3m6!1s0x88d9af83cb1509f3:0x833df4c41e5e9ed8!8m2!3d25.7662106!4d-80.212223!16s%2Fg%2F11ddxt_yyp!19sChIJ8wkVy4Ov2YgR2J5eHsT0PYM
1,No reviews,Miami's Quality Auto Repair,Taller de reparación de automóviles,"
4555 SW 71st Ave, Miami, FL 33155, Estados Unidos","
+1 305-574-9099",http://qualityautorepairfl.com/?utm_campaign=gmb,True,,,https://www.google.com/maps/place/Miami%27s+Quality+Auto+Repair/data=!4m7!3m6!1s0x88d9b8703e276f05:0x411b8bc27e5cf1bf!8m2!3d25.7284848!4d-80.3084442!16s%2Fg%2F1tjkglqh!19sChIJBW8nPnC42YgRv_FcfsKLG0E
