tier,lead_score,lead_reasons,name,category,cat_fit,address,phone,phone_e164,phone_valid,whatsapp,wa_listed,business_status,has_hours,last_review,review_age_days,photos,website,has_website,formal_name,rating,reviews,search_query,search_location,scraped_date,maps_url
A,10,Sitio web (formal) | Horario publicado | 90 reseñas (operación seria) | Rating 4.7 | Activo (<1 año),Distribution Services,Religious goods store,," Av. 510 90, Pueblo de San Juan de Aragón, Gustavo A. Madero, 07950 Ciudad de México, CDMX",55 5003 3825,+525550033825,True,https://wa.me/525550033825,False,open,True,6 months ago,180,,https://store.churchofjesuschrist.org/?utm_source=gmb&utm_medium=yext&y_source=1_MTAwNDU1NTUwMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,True,False,4.7,90,centro de distribucion,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/Distribution+Services/data=!4m7!3m6!1s0x85d1fbc48ebfe3d9:0xbb6b5f37416c122a!8m2!3d19.4658944!4d-99.0879851!16s%2Fg%2F11fy1n04zq!19sChIJ2eO_jsT70YURKhJsQTdfa7s
A,9,Sitio web (formal) | Horario publicado | 81 reseñas (operación seria) | Activo (<90d),Consorcio Juridico De Cobranza,Debt collecting,," Andalucía 245 y 254 col, Andalucía 245, Álamos, Benito Juárez, 03400 Ciudad de México, CDMX",55 5698 0500,+525556980500,True,https://wa.me/525556980500,False,open,True,2 months ago,60,,https://consorcio-juridico.mx/,True,False,2.9,81,agencia de cobranza,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/Consorcio+Juridico+De+Cobranza/data=!4m7!3m6!1s0x85d1ff0dea656d23:0x264d4ef45927fcf8!8m2!3d19.394116!4d-99.1426813!16s%2Fg%2F1tkbyknq!19sChIJI21l6g3_0YUR-PwnWfROTSY
A,8,Sitio web (formal) | Horario publicado | Rating 4.7 | WhatsApp en Maps,Praxis Logística,Import export company,," Periferico Sur 3720 Torre 2 Piso 8, Jardines del Pedregal, Álvaro Obregón, 01900 Ciudad de México, CDMX",55 1801 8427,+525518018427,True,"https://api.whatsapp.com/send?phone=5215518018427&text=Hola,%20me%20interesa%20agendar%20una%20cita%20con%20ustedes",True,open,True,,,,https://praxislogistica.com.mx/,True,False,4.7,,empresa de logistica,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/Praxis+Log%C3%ADstica/data=!4m7!3m6!1s0x85cdff965b86bfe9:0x80a1a0d2fc433876!8m2!3d19.3144671!4d-99.2195678!16s%2Fg%2F1hc7z2xmd!19sChIJ6b-GW5b_zYURdjhD_NKgoYA
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.5,"RH. SHIPPING & CHARTERING, S. DE R.L. DE C.V.",Logistics service,," Paseo de la Reforma 222-15 Juárez Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX",800 288 7447,+528002887447,True,https://wa.me/528002887447,False,open,True,,,,http://www.rh-shipping.com/,True,True,4.5,,empresa de logistica,Ciudad de Mexico,2026-06-20,"https://www.google.com/maps/place/RH.+SHIPPING+%26+CHARTERING,+S.+DE+R.L.+DE+C.V./data=!4m7!3m6!1s0x85d20001daac9b39:0x5919e075f691d9b8!8m2!3d19.4286725!4d-99.1616682!16s%2Fg%2F1th1vdh3!19sChIJOZus2gEA0oURuNmR9nXgGVk"
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.6,NNR GLOBAL LOGISTICS MEXICO SA DE CV,Freight forwarding service,," 〒11560 Cd. de México, Ciudad de México, Col. Palmas Polanco, Av. Ejército Nacional Mexicano",55 5531 0800,+525555310800,True,https://wa.me/525555310800,False,open,True,,,,https://nnrmx.com/,True,True,4.6,,empresa de logistica,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/NNR+GLOBAL+LOGISTICS+MEXICO+SA+DE+CV/data=!4m7!3m6!1s0x85d20219a5fe1453:0x37f6eaeefca70dd9!8m2!3d19.4378082!4d-99.1951745!16s%2Fg%2F11y27w6pr!19sChIJUxT-pRkC0oUR2Q2n_O7q9jc
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.8,"CFI Logistica, S.A. de C.V.",Shipping service,," Torre Pacífico GWTC piso 9 Av. Mariano Otero No. 1249, Col, Rinconada del Bosque, 44530 Guadalajara, Jal.",33 1253 3600,+523312533600,True,https://wa.me/523312533600,False,open,True,,,,http://cfilogistica.com/,True,True,4.8,,empresa de logistica,Guadalajara Mexico,2026-06-20,"https://www.google.com/maps/place/CFI+Logistica,+S.A.+de+C.V./data=!4m7!3m6!1s0x8428ac5817afddd1:0xdcd38704f01dbe39!8m2!3d20.6555169!4d-103.3888132!16s%2Fg%2F11g69gjg92!19sChIJ0d2vF1isKIQROb4d8ASH09w"
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.6,"Standard Logistics, S.a. De C.v.",Transportation service,," Blvd. Antonio L. Rodríguez 3054, Santa María, 64650 Monterrey, N.L.",81 1968 1188,+528119681188,True,https://wa.me/528119681188,False,open,True,,,,https://www.strd.com.mx/,True,True,4.6,,empresa de logistica,Monterrey Mexico,2026-06-20,"https://www.google.com/maps/place/Standard+Logistics,+S.a.+De+C.v./data=!4m7!3m6!1s0x8662960375b00001:0x31e015ad973cae72!8m2!3d25.6714924!4d-100.3858905!16s%2Fg%2F11hzxk63hn!19sChIJAQCwdQOWYoYRcq48l60V4DE"
A,7,Sitio web (formal) | Horario publicado | Rating 4.4 | WhatsApp en Maps,Asesor Logístico,Transportation service,," Av. Dr. José Eleuterio González 315-sub 4, Jardines del Cerro, 64050 Monterrey, N.L.",81 1274 3871,+528112743871,True,https://api.whatsapp.com/send/?phone=528112743871&text=Hola%21+Estoy+interesado+en%3A%0A-+Servicios+de+almacenaje%0A-+Fletes%0A-+Paqueteria&type=phone_number&app_absent=0,True,open,True,,,,http://www.asesor-logistico.com/,True,False,4.4,,empresa de logistica,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Asesor+Log%C3%ADstico/data=!4m7!3m6!1s0x8662c0211ffae551:0xdc19ee2e6866b9e5!8m2!3d25.6796127!4d-100.3503283!16s%2Fg%2F11b7xtx75j!19sChIJUeX6HyHAYoYR5blmaC7uGdw
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.5,DX Xpress Corporativo,Trucking company,," Av. Revolución 3310-Piso 11, Ladrillera, Distrito Tec, 64830 Monterrey, N.L.",81 8365 1515,+528183651515,True,https://wa.me/528183651515,False,open,True,,,,https://dxxpress.com/,True,True,4.5,,empresa de logistica,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/DX+Xpress+Corporativo/data=!4m7!3m6!1s0x8662bf8a2c3fd941:0xf6f7c1b3815f44b8!8m2!3d25.654214!4d-100.2787631!16s%2Fg%2F11tg9_vjsq!19sChIJQdk_LIq_YoYRuERfgbPB9_Y
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.7,Henco Global S.A. de C.V.,Freight forwarding service,," C. El Roble 668-A, Los Urdiales, 64430 Monterrey, N.L.",81 8158 2800,+528181582800,True,https://wa.me/528181582800,False,open,True,,,,http://www.henco.com.mx/,True,True,4.7,,empresa de logistica,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Henco+Global+S.A.+de+C.V./data=!4m7!3m6!1s0x8428ae0beb35c6bf:0x49d0bf8ff54da2!8m2!3d25.7036862!4d-100.3523942!16s%2Fg%2F1tfk9b4_!19sChIJv8Y16wuuKIQRok31j7_QSQA
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.5,Logistic Support Distribution S.A. of C.V.,Corporate office,," C. Diego de Montemayor 417 Sur, Centro, 64000 Monterrey, N.L.",81 8865 8080,+528188658080,True,https://wa.me/528188658080,False,open,True,,,,http://www.sodisa.com/,True,True,4.5,,centro de distribucion,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Logistic+Support+Distribution+S.A.+of+C.V./data=!4m7!3m6!1s0x8662ec6aa5f01a49:0xf2d7e16b9af82d50!8m2!3d25.672153!4d-100.3057027!16s%2Fg%2F1vfp41jr!19sChIJSRrwpWrsYoYRUC34mmvh1_I
C,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.5,Grupo ED Centro de distribucion Monterrey,Association / Organization,," PV38+V6, 66647 Loma la Paz, N.L.",,,False,,False,open,True,,,,http://www.grupo-ed.com/,True,True,4.5,,centro de distribucion,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Grupo+ED+Centro+de+distribucion+Monterrey/data=!4m7!3m6!1s0x8662e902e9ea4697:0x1852f347ce0f5f6a!8m2!3d25.704772!4d-100.1344289!16s%2Fg%2F11pvypr_x4!19sChIJl0bq6QLpYoYRal8PzkfzUhg
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 5.0,Televirtual Centers - Grupo TVC SAS de CV,Call center,," C. Parque de las Estrellas 2796, Jardines del Bosque, 44520 Guadalajara, Jal.",+1 855-311-1168,+18553111168,True,https://wa.me/18553111168,False,open,True,,,,https://www.televirtualcenters.com/,True,True,5.0,,call center,Guadalajara Mexico,2026-06-20,https://www.google.com/maps/place/Televirtual+Centers+-+Grupo+TVC+SAS+de+CV/data=!4m7!3m6!1s0x8428af00dc78ef49:0x8ea2f678b68ae140!8m2!3d20.6599859!4d-103.3886526!16s%2Fg%2F11h89ky9x7!19sChIJSe943ACvKIQRQOGKtnj2oo4
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Solo 4 reseñas | Activo (<1 año),Cobranza Objetiva Alcocer Palacios S.A. de C.V. COOBAL,Debt collecting,," Buenavista 8-Interior 2, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX",55 8564 4113,+525585644113,True,https://wa.me/525585644113,False,open,True,a year ago,365,,https://coobal.com.mx/,True,True,2.8,4,agencia de cobranza,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/Cobranza+Objetiva+Alcocer+Palacios+S.A.+de+C.V.+COOBAL/data=!4m7!3m6!1s0x85d1f995cb0ec18d:0x5fe2899c641ece71!8m2!3d19.4398476!4d-99.1532036!16s%2Fg%2F11l2_mh16m!19sChIJjcEOy5X50YURcc4eZJyJ4l8
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Solo 4 reseñas | Activo (<1 año),SERVICIOS TECNICOS DE COBRANZA S.A DE C.V (SERTEC),Debt collecting,," Dr. José Ma. Coss 731, Centro, 64000 Monterrey, N.L.",55 5276 8500,+525552768500,True,https://wa.me/525552768500,False,open,True,a year ago,365,,https://www.sertec.com.mx/,True,True,2.0,4,agencia de cobranza,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/SERVICIOS+TECNICOS+DE+COBRANZA+S.A+DE+C.V+%28SERTEC%29/data=!4m7!3m6!1s0x8662bf64f27e4423:0x38f65beabc9cea04!8m2!3d25.6690142!4d-100.308267!16s%2Fg%2F11k3llc50g!19sChIJI0R-8mS_YoYRBOqcvOpb9jg
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.7,Distribuidora Realza S.A. de C.V.,Store,," Calz. Olímpica 1465, Atlas, 44870 Guadalajara, Jal.",33 3120 4622,+523331204622,True,https://wa.me/523331204622,False,open,True,,,,http://www.distribuidorarealza.com/,True,True,4.7,,distribuidora,Guadalajara Mexico,2026-06-20,https://www.google.com/maps/place/Distribuidora+Realza+S.A.+de+C.V./data=!4m7!3m6!1s0x8428b23c339ccc71:0x4fb3ed42bc630e83!8m2!3d20.650315!4d-103.3323584!16s%2Fg%2F1td1dq_v!19sChIJccycMzyyKIQRgw5jvELts08
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.6,Comercial Angel Garza S.A. de C.V. | Distribuidor de Desechables en Monterrey,Disposable tableware supplier,," Mercado de Abastos Estrella, Av. Los Angeles 1000 Int. 200 Bodega 200, 281 Y 283, 66482 San Nicolás de los Garza, N.L.",81 8351 2227,+528183512227,True,https://wa.me/528183512227,False,open,True,,,,https://comercialangelgarza.com/,True,True,4.6,,distribuidora,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Comercial+Angel+Garza+S.A.+de+C.V.+%7C+Distribuidor+de+Desechables+en+Monterrey/data=!4m7!3m6!1s0x866295760f661e15:0x2af50f41c5183234!8m2!3d25.7149113!4d-100.2923709!16s%2Fg%2F1tdy09rv!19sChIJFR5mD3aVYoYRNDIYxUEP9So
A,7,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.7,Distribuidora y Envasadora de Productos de Sodio S.A. de C.V.,Supermarket,," C. Pedro Vélez 2460, Progreso, 64420 Monterrey, N.L.",81 8333 1181,+528183331181,True,https://wa.me/528183331181,False,open,True,,,,http://distribuidoradesal.com/,True,True,4.7,,distribuidora,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Distribuidora+y+Envasadora+de+Productos+de+Sodio+S.A.+de+C.V./data=!4m7!3m6!1s0x866295e82c81b36f:0xa065bca4e7e42a19!8m2!3d25.69623!4d-100.335724!16s%2Fg%2F1thlnhl7!19sChIJb7OBLOiVYoYRGSrk56S8ZaA
A,6,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.3,Alas Gulf Freight Transport S.A. de C.V.,Trucking company,," Tilos 9, Santa María Insurgentes, Cuauhtémoc, 06430 Ciudad de México, CDMX",55 5583 3302,+525555833302,True,https://wa.me/525555833302,False,open,True,,,,http://www.alasdelgolfo.com/,True,True,4.3,,empresa de logistica,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/Alas+Gulf+Freight+Transport+S.A.+de+C.V./data=!4m7!3m6!1s0x85d21ce7601f431d:0xaf59f484514d85be!8m2!3d19.4625207!4d-99.1458669!16s%2Fg%2F1x6q22wh!19sChIJHUMfYOcc0oURvoVNUYT0Wa8
A,6,Sitio web (formal) | Razón social formal | Rating 4.6,Empresa de Logística Internacional S.C.,Logistics service,," Av. San Rafael 101, Dieciocho de Marzo, 67110 Guadalupe, N.L.",81 8377 1101,+528183771101,True,https://wa.me/528183771101,False,open,False,,,,http://www.grupoei.com.mx/,True,True,4.6,,empresa de logistica,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Empresa+de+Log%C3%ADstica+Internacional+S.C./data=!4m7!3m6!1s0x8662ea7e199c3379:0xd98d48cf47f751c4!8m2!3d25.6958961!4d-100.2299389!16s%2Fg%2F1tdkh22l!19sChIJeTOcGX7qYoYRxFH3R89Ijdk
A,6,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.3,Logística y Desarrollo en Comercio Internacional S.C.,Shipping company,," Serafín Peña 401 B, Centro, 64000 Monterrey, N.L.",81 3610 7704,+528136107704,True,https://wa.me/528136107704,False,open,True,,,,http://www.ldci.com.mx/,True,True,4.3,,empresa de logistica,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Log%C3%ADstica+y+Desarrollo+en+Comercio+Internacional+S.C./data=!4m7!3m6!1s0x8662ec0f1a736ddb:0xaa2c136100ad213b!8m2!3d25.6744723!4d-100.3250239!16s%2Fg%2F11cmnc8lx5!19sChIJ221zGg_sYoYROyGtAGETLKo
C,6,Sitio web (formal) | Razón social formal | Rating 4.5,"CENTRAL DE COBRANZAS ESPECIALES, S.C.,",Law firm,," Venecia 58, Claveria, Azcapotzalco, 02090 Ciudad de México, CDMX",534 174 5501,,False,,False,open,False,,,,http://centraldecobranzas.com.mx/,True,True,4.5,,agencia de cobranza,Ciudad de Mexico,2026-06-20,"https://www.google.com/maps/place/CENTRAL+DE+COBRANZAS+ESPECIALES,+S.C.,/data=!4m7!3m6!1s0x477eb1b96a6997c5:0x37ac90da450da518!8m2!3d19.4618913!4d-99.1805831!16s%2Fg%2F11h3ldszz2!19sChIJxZdparmxfkcRGKUNRdqQrDc"
A,6,Sitio web (formal) | Razón social formal | Horario publicado | Solo 3 reseñas,COBRANZA CORPORATIVA SA DE CV,Debt collecting,," Montecito 38-P. 39 OF 34, Nápoles, Benito Juárez, 03810 Ciudad de México, CDMX",55 9000 7538,+525590007538,True,https://wa.me/525590007538,False,open,True,2 years ago,730,,http://www.cobranzacorporativa.com/,True,True,2.3,3,agencia de cobranza,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/COBRANZA+CORPORATIVA+SA+DE+CV/data=!4m7!3m6!1s0x85d1ff315fc21d35:0x35e55038d849bd35!8m2!3d19.3939255!4d-99.1744896!16s%2Fg%2F11h6v0yp38!19sChIJNR3CXzH_0YURNb1J2DhQ5TU
A,6,Sitio web (formal) | Razón social formal | Rating 5.0,To Cash Asociados,Business management consultant,," C. Río Tiber #91-int. 401, Cuauhtémoc, 06500 Ciudad de México, CDMX",55 5208 5521,+525552085521,True,https://wa.me/525552085521,False,open,False,,,,http://tocashasociados.com/,True,True,5.0,,agencia de cobranza,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/To+Cash+Asociados/data=!4m7!3m6!1s0x85d1ff4af2b1c4cd:0xb28a1fc897a991af!8m2!3d19.4293452!4d-99.1691701!16s%2Fg%2F11h_4tz3rt!19sChIJzcSx8kr_0YURr5Gpl8gfirI
A,6,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.1,Distribuidora Parra de Monterrey S.A. de C.V.,Abrasives supplier,," C. Gral. Bernardo Reyes #408, Centro, 66400 San Nicolás de los Garza, N.L.",81 1496 1143,+528114961143,True,https://wa.me/528114961143,False,open,True,,,,http://www.dpmty.com/,True,True,4.1,,distribuidora,Monterrey Mexico,2026-06-20,https://www.google.com/maps/place/Distribuidora+Parra+de+Monterrey+S.A.+de+C.V./data=!4m7!3m6!1s0x86629490bc89d827:0x6edf9a42bdd252d4!8m2!3d25.7578071!4d-100.2891638!16s%2Fg%2F1tfwdy0p!19sChIJJ9iJvJCUYoYR1FLSvUKa324
A,6,Sitio web (formal) | Razón social formal | Horario publicado | Rating 4.2,PERLI EXPRESS S.A. DE C.V.,Freight forwarding service,," Calz México-Tacuba 907, San Diego Ocoyoacac, Miguel Hidalgo, 11290 Ciudad de México, CDMX",55 5527 4808,+525555274808,True,https://wa.me/525555274808,False,open,True,,,,http://www.perliexpress.com.mx/,True,True,4.2,,empresa de paqueteria,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/PERLI+EXPRESS+S.A.+DE+C.V./data=!4m7!3m6!1s0x85d20275d5c50e85:0xdfc92f7772909bd!8m2!3d19.4607982!4d-99.1921691!16s%2Fg%2F11b779dghb!19sChIJhQ7F1XUC0oURvQkpd_eS_A0
B,5,Sitio web (formal) | Horario publicado | Rating 5.0,Evolve Logistics Mexico,Trucking company,," Eugenio Sue 316-Int 15, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX",55 8623 5684,+525586235684,True,https://wa.me/525586235684,False,open,True,,,,https://evolvelogistics.com.mx/,True,False,5.0,,empresa de logistica,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/Evolve+Logistics+Mexico/data=!4m7!3m6!1s0x85d203d1e433c677:0xf6a02393b3e98f58!8m2!3d19.4363942!4d-99.1940803!16s%2Fg%2F11yrh186rw!19sChIJd8Yz5NED0oURWI_ps5MjoPY
B,5,Sitio web (formal) | Horario publicado | Rating 4.6,KENSA Logistics,Logistics service,," Av. Pdte. Masaryk 29-Piso 1, Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX",55 9337 3600,+525593373600,True,https://wa.me/525593373600,False,open,True,,,,https://www.kensalogistics.com/,True,False,4.6,,empresa de logistica,Ciudad de Mexico,2026-06-20,https://www.google.com/maps/place/KENSA+Logistics/data=!4m7!3m6!1s0x85d1f902cfca22bd:0x27e92810d02466aa!8m2!3d19.431595!4d-99.1822231!16s%2Fg%2F11h15_brd3!19sChIJvSLKzwL50YURqmYk0BAo6Sc
