lead_score,lead_reasons,name,category,address,phone,phone_e164,phone_valid,whatsapp,wa_listed,business_status,last_review,review_age_days,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url
12,Sitio web (formal) | 261 reseñas (operación seria) | Rating 4.9 | WhatsApp en Maps | Activo (<1 año),"Punto Fino Abogados, S.C.",Insurance attorney," Av. Patriotismo 229-piso 8 Int 311, San Pedro de los Pinos, Benito Juárez, 03800 Ciudad de México, CDMX",55 5293 9279,+525552939279,True,https://wa.me/5215583646839,True,open,8 months ago,240,http://www.puntofino.mx/,True,4.9,261,despacho juridico,Ciudad de Mexico,2026-06-15,"https://www.google.com/maps/place/Punto+Fino+Abogados,+S.C./data=!4m7!3m6!1s0x85d1ff6a799a6af5:0x5c4325408dd185c0!8m2!3d19.3957876!4d-99.1806575!16s%2Fg%2F11flzkz5kh!19sChIJ9WqaeWr_0YURwIXRjUAlQ1w"
9,Sitio web (formal) | 219 reseñas (operación seria) | Rating 4.9 | Activo (<1 año),"Reyes Carrera y Asociados, S.C.",Criminal justice attorney," Juan Vázquez de Mella 481-Piso 2, Polanco, Polanco I Secc, Miguel Hidalgo, 11510 Ciudad de México, CDMX",55 4438 3968,+525544383968,True,https://wa.me/525544383968,False,open,4 months ago,120,https://www.reyescarrera.com/,True,4.9,219,despacho juridico,Ciudad de Mexico,2026-06-15,"https://www.google.com/maps/place/Reyes+Carrera+y+Asociados,+S.C./data=!4m7!3m6!1s0x85d203007a16f73b:0xfaa5b34986dec4d6!8m2!3d19.4335104!4d-99.2090283!16s%2Fg%2F11y4tb51p0!19sChIJO_cWegAD0oUR1sTehkmzpfo"
7,Sitio web (formal) | Rating 4.9 | WhatsApp en Maps,Fletes y Mudanzas Convencionales Local y Foráneo,Trucking company," Puebla 22, 76902 San José de los Olvera, Qro.",442 412 5359,+524424125359,True,https://api.whatsapp.com/send/?phone=5214424125359&text=Hola%2C+estoy+interesado+en+tus+servicios%2C+%C2%BFme+puedes+dar+m%C3%A1s+informaci%C3%B3n%3F&type=phone_number&app_absent=0,True,open,,,http://www.fletesymudanzasconvencionales.com/,True,4.9,,fletes y mudanzas,Queretaro Mexico,2026-06-15,https://www.google.com/maps/place/Fletes+y+Mudanzas+Convencionales+Local+y+For%C3%A1neo/data=!4m7!3m6!1s0x85d345a839f96fa3:0x6b7b89c4c2a828c!8m2!3d20.5556116!4d-100.4119851!16s%2Fg%2F11tkb4r0_l!19sChIJo2_5OahF04URjIIqTJy4twY
7,63 reseñas (operación seria) | Rating 4.9 | Activo (<1 año),ABOGADO & ASOCIADOS DESPACHO JURIDICO PODER LEGAL,Criminal justice attorney," Av. 8 de Julio 69, Zona Centro, 44100 Guadalajara, Jal.",33 1637 2931,+523316372931,True,https://wa.me/523316372931,False,open,5 months ago,150,,False,4.9,63,despacho juridico,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/ABOGADO+%26+ASOCIADOS+DESPACHO+JURIDICO+PODER+LEGAL/data=!4m7!3m6!1s0x8428b125d96283a3:0x22b1b8684c78f56!8m2!3d20.6754317!4d-103.3523021!16s%2Fg%2F11w7nlnfft!19sChIJo4Ni2SWxKIQRVo_HhIYbKwI
7,Sitio web (formal) | 70 reseñas (operación seria) | Activo (<1 año),Lic. Juan Manuel Macias Briones,Public prosecutors office," Coronel Calderón 636, Centro, 44280 Guadalajara, Jal.",33 3613 5525,+523336135525,True,https://wa.me/523336135525,False,open,7 months ago,210,https://www.udg.mx/es/servicios/catalogo/bufetes-jur-dicos-servicio-social-la-universidad-guadalajara,True,3.9,70,despacho juridico,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/Lic.+Juan+Manuel+Macias+Briones/data=!4m7!3m6!1s0x8428b1e9694fffff:0x6b80564bd07e7d0!8m2!3d20.6854025!4d-103.342443!16s%2Fg%2F11hyjmxls9!19sChIJ__9PaemxKIQR0OcHvWQFuAY
5,Rating 4.9 | WhatsApp en Maps,Jurídico Ruiz,General practice attorney," C. Manuel Gutiérrez Nájera 1218, Miraflores, 44270 Guadalajara, Jal.",33 1447 4428,+523314474428,True,https://wa.me/523314474428,True,open,,,,False,4.9,,despacho juridico,Guadalajara Mexico,2026-06-15,https://www.google.com/maps/place/Jur%C3%ADdico+Ruiz/data=!4m7!3m6!1s0x8428b11507fb1217:0x66718055d8d581f2!8m2!3d20.6954366!4d-103.3443183!16s%2Fg%2F11q1p0x1lb!19sChIJFxL7BxWxKIQR8oHV2FWAcWY
4,Sitio web (formal) | Rating 4.5,Administración de Condominios y Edificios CDMX,Real estate agency," Av. Pdte. Masaryk, Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX",55 5682 7551,+525556827551,True,https://wa.me/525556827551,False,open,,,https://www.administracioncondominios.com.mx/,True,4.5,,administracion de condominios,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Administraci%C3%B3n+de+Condominios+y+Edificios+CDMX/data=!4m7!3m6!1s0x85d1ff9e02b4e879:0xa1fe5dffcf474d80!8m2!3d19.4315564!4d-99.18369!16s%2Fg%2F11gh5_98cr!19sChIJeei0Ap7_0YURgE1Hz_9d_qE
4,Sitio web (formal) | Rating 4.6,Administración de condominios HABITIA,Property management company," Gutenberg 142, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX",55 5545 6978,+525555456978,True,https://wa.me/525555456978,False,open,,,https://administraciondecondominios.com.mx/,True,4.6,,administracion de condominios,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Administraci%C3%B3n+de+condominios+HABITIA/data=!4m7!3m6!1s0x85d1f8b2db408d5b:0x717ff7ed83f4b5ac!8m2!3d19.4321291!4d-99.1767466!16s%2Fg%2F11f__2f0ww!19sChIJW41A27L40YURrLX0g-33f3E
4,Sitio web (formal) | Rating 4.7,Gruber Administraciòn de condominios S.C,Property administration service," C. Río Tiber 22, Cuauhtémoc, 06500 Ciudad de México, CDMX",55 3858 9724,+525538589724,True,https://wa.me/525538589724,False,open,,,https://www.gruberadministracion.com/,True,4.7,,administracion de condominios,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Gruber+Administraci%C3%B2n+de+condominios+S.C/data=!4m7!3m6!1s0x85d1f963f8c29a79:0x8ebcc325050b89ea!8m2!3d19.4328623!4d-99.1704386!16s%2Fg%2F11h_0njpjq!19sChIJeZrC-GP50YUR6okLBSXDvI4
4,Sitio web (formal) | Rating 5.0,Sihua Administración de Condominios,Property management company," Tajín 125, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX",55 1868 0032,+525518680032,True,https://wa.me/525518680032,False,open,,,https://www.serviciointegral.mx/,True,5.0,,administracion de condominios,Ciudad de Mexico,2026-06-15,https://www.google.com/maps/place/Sihua+Administraci%C3%B3n+de+Condominios/data=!4m7!3m6!1s0x85ce01d5976ac939:0x7743bc0421d190cb!8m2!3d19.3968899!4d-99.153094!16s%2Fg%2F11b6ghc6c7!19sChIJOclql9UBzoURy5DRIQS8Q3c
