lead_score,lead_reasons,name,category,address,phone,phone_e164,phone_valid,whatsapp,business_status,last_review,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url
6,No website | No reviews,Contador Puebla,Accountant," C. Séptima Sur 4916, Prados Agua Azul, 72430 Heroica Puebla de Zaragoza, Pue.",222 152 5530,+522221525530,True,https://wa.me/522221525530,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Contador+Puebla/data=!4m7!3m6!1s0x85cfb8c6d7ff5db3:0xef61fe224f3a8a28!8m2!3d19.0236377!4d-98.2176071!16s%2Fg%2F11c2qnsjgb!19sChIJs13_18a4z4URKIo6TyL-Ye8
6,No website | No reviews,Despacho contable fiscal de puebla,Certified public accountant," Plaza Dorada, Plaza dorada, Jardines de San Manuel, 72534 Heroica Puebla de Zaragoza, Pue.",56 1041 2073,+525610412073,True,https://wa.me/525610412073,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+contable+fiscal+de+puebla/data=!4m7!3m6!1s0x85cfc15ad6c18ba1:0x8825d194b27c1663!8m2!3d19.0285816!4d-98.205578!16s%2Fg%2F11yycssfn3!19sChIJoYvB1lrBz4URYxZ8spTRJYg
6,No website | No reviews,MA Asesoría Contable y Fiscal,Accountant," C. 92 Pte. 107 A, Revolución Mexicana, 72200 Heroica Puebla de Zaragoza, Pue.",222 666 4016,+522226664016,True,https://wa.me/522226664016,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/MA+Asesor%C3%ADa+Contable+y+Fiscal/data=!4m7!3m6!1s0x85cfc1266eba48ad:0xbed3c69a2a4a77d5!8m2!3d19.0788312!4d-98.1789157!16s%2Fg%2F11tdn1p4v5!19sChIJrUi6bibBz4UR1XdKKprG074
6,No website | No reviews,Arenas & Asociados Despacho Contable,Accounting firm," 72000, Chulavista, 72000 Heroica Puebla de Zaragoza, Pue.",222 506 2726,+522225062726,True,https://wa.me/522225062726,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Arenas+%26+Asociados+Despacho+Contable/data=!4m7!3m6!1s0x85cfc199f5e1dd0d:0xae3d6fc556b68ef2!8m2!3d19.0402491!4d-98.2097932!16s%2Fg%2F11ydw0vz72!19sChIJDd3h9ZnBz4UR8o62VsVvPa4
6,No website | No reviews,Bañuelos Villalba & Asociados S.C. - ABOGADOS Y CONTADORES -,Chartered accountant," Torre Omega, Centro Mayor, Calz Zavaleta, Santa Cruz Buenavista Norte, Sta Cruz Buenavista, 72150 Heroica Puebla de Zaragoza, Pue.",222 435 7172,+522224357172,True,https://wa.me/522224357172,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Ba%C3%B1uelos+Villalba+%26+Asociados+S.C.+-+ABOGADOS+Y+CONTADORES+-/data=!4m7!3m6!1s0x85cfc78bcb111423:0x3f5253cf57a5af92!8m2!3d19.0606737!4d-98.2498023!16s%2Fg%2F11n14qg17x!19sChIJIxQRy4vHz4URkq-lV89TUj8
6,No website | No reviews,"DESPACHO CONTABLE Y FISCAL ""RIVERA""",Corporate office," Priv. Eduardo Cue Merlo 424, San Baltazar Campeche, 72550 Heroica Puebla de Zaragoza, Pue.",222 446 1626,+522224461626,True,https://wa.me/522224461626,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/DESPACHO+CONTABLE+Y+FISCAL+%22RIVERA%22/data=!4m7!3m6!1s0x85cfc1e2c00be6f7:0x72dbfbe144bbd015!8m2!3d19.0228055!4d-98.2058376!16s%2Fg%2F11stp44b8b!19sChIJ9-YLwOLBz4URFdC7ROH723I
6,No website | No reviews,COUNTERS' OFFICE,Accountant," Av 2 Pte 101-Despacho 410, Centro histórico de Puebla, 72000 Heroica Puebla de Zaragoza, Pue.",222 232 1224,+522222321224,True,https://wa.me/522222321224,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/COUNTERS%27+OFFICE/data=!4m7!3m6!1s0x85cfc0e76e6fdc4f:0x18d1d7fc4038b800!8m2!3d19.0452517!4d-98.1984471!16s%2Fg%2F1s04drfmc!19sChIJT9xvbufAz4URALg4QPzX0Rg
6,No website | No reviews,Despacho Contable Martinez Bañuelos & Asociados S.C.,Certified public accountant," Cto. Coyoacan Sur 14 5 Bello Horizonte, Santiago Momoxpan, 72735 Pue.",222 435 7172,+522224357172,True,https://wa.me/522224357172,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+Martinez+Ba%C3%B1uelos+%26+Asociados+S.C./data=!4m7!3m6!1s0x85cfc70bbb2fdf71:0x785f19f65468fe5f!8m2!3d19.0556568!4d-98.2647926!16s%2Fg%2F11hz6vg_5p!19sChIJcd8vuwvHz4URX_5oVPYZX3g
6,No website | No reviews,Despacho Contable ® México Sucursal Puebla,Bookkeeping service," Cto. la Unión 33, Misiones de San Francisco, 72680 San Jacinto, Pue.",222 836 7753,+522228367753,True,https://wa.me/522228367753,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+Contable+%C2%AE+M%C3%A9xico+Sucursal+Puebla/data=!4m7!3m6!1s0x85cfc5632a57e65b:0x2ed506fd387437af!8m2!3d19.1560535!4d-98.2568912!16s%2Fg%2F11yl4f_h7p!19sChIJW-ZXKmPFz4URrzd0OP0G1S4
6,No website | No reviews,Despacho de Contabilidad y Auditoría,Accountant," Av 11 Ote 10 A, Centro histórico de Puebla, 72000 Heroica Puebla de Zaragoza, Pue.",,,False,,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/Despacho+de+Contabilidad+y+Auditor%C3%ADa/data=!4m7!3m6!1s0x85cfc0c2a39adf4d:0xbabfbb05eab75fb9!8m2!3d19.0401951!4d-98.1998571!16s%2Fg%2F1ptyqzswr!19sChIJTd-ao8LAz4URuV-36gW7v7o
6,No website | No reviews,DESPACHO DE CONTABILIDAD,Accounting firm," Av. Cholula, 72730 Sanctorum, Pue.",,,False,,open,,,False,,,despacho contable,Puebla Mexico,2026-06-11,https://www.google.com/maps/place/DESPACHO+DE+CONTABILIDAD/data=!4m7!3m6!1s0x85cfc7003ee5fa05:0xf6b93dc13b3c1bc9!8m2!3d19.095442!4d-98.2564789!16s%2Fg%2F11w7mhg8c4!19sChIJBfrlPgDHz4URyRs8O8E9ufY
