lead_score,lead_reasons,name,category,address,phone,website,has_website,rating,reviews,search_query,search_location,scraped_date,maps_url
6,No website | No reviews,David A Hogan Public Adjuster,Insurance agency," 2324 W Britton Rd, Oklahoma City, OK 73120, United States",+1 405-463-3200,,False,,,public insurance adjuster,Oklahoma City OK,2026-06-11,https://www.google.com/maps/place/David+A+Hogan+Public+Adjuster/data=!4m7!3m6!1s0x87b21bbc8d460dcb:0x1629a4e591db801!8m2!3d35.5653541!4d-97.5551266!16s%2Fg%2F113hfn_3p!19sChIJyw1GjbwbsocRAbgdWU6aYgE
6,No website | No reviews,Public Insurance Adjuster Emmitt Deatherage LLC,Small claims assistance service,,+1 405-317-7249,,False,,,public insurance adjuster,Oklahoma City OK,2026-06-11,https://www.google.com/maps/place/Public+Insurance+Adjuster+Emmitt+Deatherage+LLC/data=!4m7!3m6!1s0xbcb4a95e8fb5301:0x4e69c6fa5b74fdea!8m2!3d31.4197143!4d-100.0768425!16s%2Fg%2F11swzqz3qs!19sChIJAVP76JVKywsR6v10W_rGaU4
6,No website | No reviews,Claim,Loss adjuster," 3030 Northwest Expressway, Northwest Expressway Service Road suite 200, Oklahoma City, OK 73112, United States",,,False,,,public insurance adjuster,Oklahoma City OK,2026-06-11,https://www.google.com/maps/place/Claim/data=!4m7!3m6!1s0x87b21af513a77377:0x7e1a23108cc4cea5!8m2!3d35.5267684!4d-97.5695876!16s%2Fg%2F11b75hdsnk!19sChIJd3OnE_UasocRpc7EjBAjGn4
6,No website | No reviews,APJ Construction Inc.,Construction company," 9401 Carnegie Ave Ste. 2-L, El Paso, TX 79925, United States",+1 915-226-3467,,False,,,general contractor,El Paso TX,2026-06-11,https://www.google.com/maps/place/APJ+Construction+Inc./data=!4m7!3m6!1s0x86e7453cafa5f9b9:0xc516e874cba1ccf7!8m2!3d31.7962464!4d-106.3609123!16s%2Fg%2F11fx07zp8t!19sChIJufmlrzxF54YR98yhy3ToFsU
6,No website | No reviews,Michael D. Martinez General Contractor,General contractor," 8305 Mt Everest Dr, El Paso, TX 79904, United States",+1 915-497-9459,,False,,,general contractor,El Paso TX,2026-06-11,https://www.google.com/maps/place/Michael+D.+Martinez+General+Contractor/data=!4m7!3m6!1s0x86e751cdbe71c593:0x5d1bc3ae67669414!8m2!3d31.8558259!4d-106.4185451!16s%2Fg%2F11n78_gwmh!19sChIJk8Vxvs1R54YRFJRmZ67DG10
6,No website | No reviews,GRC Contractors LLC,General contractor," 3 Butterfield Trail Blvd #121, El Paso, TX 79906, United States",+1 915-799-3634,,False,,,general contractor,El Paso TX,2026-06-11,https://www.google.com/maps/place/GRC+Contractors+LLC/data=!4m7!3m6!1s0x86e745063f6a4f11:0x8b83c6087957ded6!8m2!3d31.8135247!4d-106.403874!16s%2Fg%2F11gm_n9n32!19sChIJEU9qPwZF54YR1t5XeQjGg4s
6,No website | No reviews,4- W Express LLC,Shipping company," 1100 N 162nd E Ave, Tulsa, OK 74116, United States",+1 918-978-0836,,False,,,freight broker,Tulsa OK,2026-06-11,https://www.google.com/maps/place/4-+W+Express+LLC/data=!4m7!3m6!1s0x87b6f47d0ec4d9a5:0x6c7150c6c4179233!8m2!3d36.1692147!4d-95.7954839!16s%2Fg%2F11hy9nxh9s!19sChIJpdnEDn30tocRM5IXxMZQcWw
6,No website | No reviews,Hugo Tejeda Custom House Brokerage,Customs broker," 718 S Stanton St, El Paso, TX 79901, United States",+1 915-838-1855,,False,,,customs broker,El Paso TX,2026-06-11,https://www.google.com/maps/place/Hugo+Tejeda+Custom+House+Brokerage/data=!4m7!3m6!1s0x86e7591c4f7d5eeb:0xd6038dfe2e15ab26!8m2!3d31.7526588!4d-106.4839504!16s%2Fg%2F1v46_t77!19sChIJ6159TxxZ54YRJqsVLv6NA9Y
6,No website | No reviews,Miranda Brokerage,Customs broker," 3020 Trawood Dr Suite D, El Paso, TX 79936, United States",+1 915-259-8804,,False,,,customs broker,El Paso TX,2026-06-11,https://www.google.com/maps/place/Miranda+Brokerage/data=!4m7!3m6!1s0x86e7450003abbf25:0xb3d264edfeab4569!8m2!3d31.7642454!4d-106.3006404!16s%2Fg%2F11yp20_fg6!19sChIJJb-rAwBF54YRaUWr_u1k0rM
6,No website | No reviews,Saga Brokers,Customs broker," 3301 Alameda Ave, El Paso, TX 79905, United States",+1 915-892-5418,,False,,,customs broker,El Paso TX,2026-06-11,https://www.google.com/maps/place/Saga+Brokers/data=!4m7!3m6!1s0x86e7599d00f3a9bd:0xaaf9bd326dd36fa1!8m2!3d31.7736716!4d-106.4553466!16s%2Fg%2F1q6czzn1l!19sChIJvanzAJ1Z54YRoW_TbTK9-ao
